Name,auction_value
Wilfredo Cordero,-9259039425184912.0
Cody Bradford,-9229502387399870.0
Diego Hernandez,-9104901519942260.0
Orion Kerkering,-9044535231161104.0
Zebby Matthews,-9029449853212240.0
Jackson Rutledge,-8977864277231629.0
Dennis Santana,-8965379167806470.0
José Quijada,-8941033212008933.0
Johandry Fuente,-8928087837658418.0
Jack Kochanowicz,-8895286388974874.0
Neiver Acosta,-8816012947766686.0
Stanly Alcantara,-8768329961832643.0
Colin Holderman,-8680922797982470.0
Jarol Baez,-8676324120499405.0
Yonatan Pineda,-8666583914919454.0
Michel Otañez,-8665532939038232.0
Denison Sanchez,-8472933811096798.0
Luis Beltrán,-8469437480669230.0
Ryne Nelson,-8431797283044925.0
Jose Ramirez,-8406359774137597.0
Jason Adam,-8403733897867258.0
Matt Strahm,-8380296204096614.0
Fraylin Suriel,-8334180251667936.0
Kevin Ginkel,-8279530649582778.0
Sean Reynolds,-8247310372283758.0
Wuillians Herrera,-8203106422458030.0
Osvaldo Bido,-8194262738801685.0
Angel Cruz,-8117501007583054.0
Lisnerkin Lantigua,-8088182593504099.0
Cade Smith,-8082557588450035.0
Joldelanio De Los Santos,-8071710342683859.0
Luis Flores,-8061677114603450.0
Fernando Cruz,-8057694441452784.0
Carson Palmquist,-8045875722568051.0
Ryan Zeferjahn,-7995434636154629.0
Elvin Jimenez,-7944556895901750.0
Cristian Galindo,-7936371433980019.0
Hunter Harvey,-7872046959196192.0
Luciano Romero,-7865622667069661.0
Oliver Camilo,-7851634358351974.0
Erik Miller,-7850942784320034.0
Alexander Johnson,-7792784330435608.0
Yoryi Jimenez,-7788970904190523.0
Jose Regalado,-7770331354620398.0
Andrew Nardi,-7750630334327818.0
Rodolfo De La Cruz,-7679716562158509.0
Ledwin Gonzalez,-7649482444671054.0
Jacob Webb,-7611297500322710.0
Rafael Suero,-7583445967872694.0
Nick Mears,-7580837272479973.0
Justin Slaten,-7580774301037461.0
Misael Lopez,-7570588510085376.0
Dermis Ordonez,-7533622823265869.0
Michael Valverde,-7508777255269083.0
Eriberto Vasquez,-7493545569204386.0
Darlin Mendez,-7482273465653112.0
Chariel Radney,-7479188560375955.0
Fermin Magallanes,-7454593058575194.0
Victor Brea,-7416272416599283.0
Luis Mey,-7396967482671920.0
Gregory Santos,-7382605566919870.0
Francisco Frias,-7354743981408414.0
Bernard Mack,-7326680521837203.0
Evan Justice,-7315017498264333.0
Steven Wilson,-7268349058190235.0
Kyle Nicolas,-7249531987009837.0
Jhosep Chirinos,-7214434999075914.0
Ricardo Montero,-7195588294003524.0
Daysbel Hernández,-7145351762135526.0
Seranthony Domínguez,-7143391672901448.0
Erik Sabrowski,-7119647106190384.0
Ronal Herrera,-7073842321122149.0
Luis Garcia,-7052771395090060.0
Eddy Peralta,-7024225741668367.0
Hader Blanco,-6996396553621052.0
Darwin Rodriguez,-6960101892010529.0
Carlos Gomez,-6934931021640494.0
Daury Zapata,-6934894431699050.0
Jordi Infante,-6891975449932248.0
Tyler Kennedy,-6831199006112189.0
Clayton Beeter,-6814832674720681.0
Elías Moscoso,-6812903966839399.0
Brock Burke,-6806160297488308.0
Edwin Cervantes,-6771623819873099.0
Reed Garrett,-6757388978981660.0
Angel Perdomo,-6756907957645055.0
Robby Snelling,-6743767298849487.0
Danny Hilario,-6734270150500861.0
Pitterson Rosa,-6718347433680041.0
Ben Brown,-6706990651517202.0
Johan Palacios,-6679224751300952.0
Saul Sanchez,-6662785766369550.0
Abner Uribe,-6633649500979648.0
Jorge Alcala,-6607377401111852.0
Engel Silvestre,-6602936952297698.0
Tyler Holton,-6588784005668320.0
Jake Cousins,-6534643583754542.0
Frederic Frias,-6438405888703551.0
Ruver Flores,-6436228522990671.0
Pedro Figueroa,-6433977498747741.0
Landen Roupp,-6390454481863992.0
Cole Sands,-6385722017053830.0
Brailyn Paulino,-6345416418713094.0
Zach Maxwell,-6315657209572357.0
Michael Vilchez,-6288141548977571.0
Yoralbert Cadiz,-6271282185864251.0
Jairon Digon,-6270975366848782.0
Keegan Akin,-6262667963162310.0
Tyler Ferguson,-6257120097004074.0
Andrew Walters,-6228782421039257.0
Oscar Moreta,-6198736116619646.0
Eduardo Fernandez,-6121187555757535.0
Jeiki Beltran,-6118757781107743.0
James Karinchak,-6111141395164815.0
Angel Chivilli,-6106121838955257.0
Dairon De Jesus,-6100734958104638.0
Jarlen De La Paz,-6072878686440084.0
Saul Siri,-6045144994061346.0
Sam Moll,-6022653846440644.0
Frank Martinez,-6006880092140900.0
Jose Mendoza,-5988656098779042.0
Jecsua Liborius,-5948879147533215.0
Brock Stewart,-5942312481982092.0
Yansel Marine,-5939473684009772.0
Jeyson Mejia,-5921129773580006.0
Mike Burrows,-5912172420311571.0
Yoryi Simarra,-5897557585180587.0
Alexis Paulino,-5897307639971990.0
Cristopher Presinal,-5895867715077783.0
Eider Machuca,-5878629604738846.0
Luis Martinez,-5875671272322389.0
José Buttó,-5872808781221682.0
Kevison Hernandez,-5850049458646072.0
Onias Jimenez,-5844195908437493.0
Lenin Mendez,-5810759882033887.0
Brandon Smith,-5795535532682439.0
Richy Valdez,-5764549344896919.0
Chayce McDermott,-5712610848873158.0
Erik Swanson,-5685096006126523.0
Kevin Camacho,-5678302269607243.0
Jhonny Jimenez,-5678140654958030.0
Erick Padilla,-5675023240308225.0
Yenfri Sosa,-5650570944280394.0
Tyler Hoffman,-5591986001164330.0
Abel Fuerte,-5575102888014211.0
Yorvi Pirela,-5562773240196594.0
Xzavion Curry,-5541839847670067.0
Peter Bonilla,-5496231329083906.0
Christian Avendano,-5479315996479840.0
Irving Vazquez,-5474591173517421.0
Carlos Mateo,-5470658107390091.0
Keninson Diaz,-5437642558742278.0
Anderson Jerez,-5421504654686741.0
Abel Mercedes,-5416312450130718.0
Juan Henriquez,-5411304358351788.0
Claudio Gatier,-5398309772034663.0
Marcelo Valladares,-5377486561660832.0
Jesus Garcia,-5357525801248416.0
Andrew Moore,-5352913282661972.0
Tayler Scott,-5350791285684775.0
Yilber Diaz,-5328946387036964.0
Marco Vega,-5314194751832099.0
Taylor Rogers,-5301358449078916.0
Dioni Baez,-5297572265811619.0
Jordan Valenzuela,-5261901911379502.0
Juan Duran,-5255575286327710.0
Rodarni Salvador,-5243579418329352.0
Diego Dominguez,-5237506101191916.0
Collin Snider,-5236592092320607.0
Andy Luis,-5218314280896510.0
Yency De Jesus,-5213436815055469.0
Nick Sandlin,-5200314560173291.0
Michael Saturria,-5190756838603253.0
Hansel Rosario,-5152017778000261.0
Josh Sborz,-5142394102546457.0
John Schreiber,-5137925829432775.0
Adrian Rodriguez,-5134457477400462.0
Anel Cabrera,-5107208170992824.0
Michael Tonkin,-5092272248423659.0
Odarlin Cruz,-5065372822371475.0
Justin Lawrence,-5063349667610989.0
Luis De La Cruz,-5048664066326850.0
Ryan Pressly,-5046796291033593.0
Drew Garrett,-5044772094034223.0
Sean Reid-Foley,-5012201021664913.0
Alexis De La Cruz,-4999628170215569.0
Will Vest,-4989611302546463.0
Luis Morellis,-4978760167894537.0
Moises Palma,-4965354909249244.0
Reynaldo Yean,-4948001330322124.0
Connor Prins,-4932916348969272.0
Hunter Bigge,-4899223682423322.0
Wilme Mora,-4868144793683131.0
Kinn Omosako,-4867223710002126.0
Leomar Rosario,-4853401050953867.0
Jose Meneses,-4844165243976278.0
Brayan Diaz,-4773047501613094.0
Jacob Latz,-4761050720257935.0
Abrahan Tejada,-4755552376600975.0
Bryan Hudson,-4726980115084425.0
Matt Manning,-4725089664381713.0
Anyer Laureano,-4705647036506515.0
Breilin Arredondo,-4694311416829538.0
Franderly Morel,-4677308485753312.0
Branden Noriega,-4648089219081201.0
Nixon Parra,-4619029466171215.0
Fraimin Marte,-4616021276395056.0
Luis Ramirez,-4604295264662005.0
Joel Payamps,-4604224063184398.0
Keegan Thompson,-4587147890740584.0
Tylor Megill,-4569327963088176.0
Moises Amezquita,-4565095705673204.0
Yuki Matsui,-4553529294826407.0
Deyer Zapata,-4545400544391990.0
Evan Reifert,-4545037774953891.0
Frainer Mejias,-4542256727112577.0
Ian Hamilton,-4528408818894103.0
Joey Lucchesi,-4502166248251429.5
Jan Caraballo,-4500288518768775.0
Bayant Melo,-4493198058177041.5
Edgardo Henriquez,-4478324443927591.0
Luis Espinoza,-4458092116197981.0
Elian Serrata,-4455893616298989.5
Shawndrick Oduber,-4453710126662563.0
Jared Koenig,-4428953892134776.0
Ryan Fernandez,-4427231445451470.5
Lucas Gilbreath,-4416201621513793.5
Bryce Elder,-4414072674690205.5
Nixon Encarnacion,-4406024250699730.5
Yanzel Correa,-4378862421644877.5
Jordan Leasure,-4376858567060891.0
Anthony Banda,-4371776573121041.0
Frenny Grant,-4364715449148206.5
Matthew Liberatore,-4355991040088439.0
Luke Little,-4354314073399775.0
