Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,FPTS,FPTS/G,SPTS,SPTS/G,NameASCII,PlayerId,MLBAMID,HR_z,R_z,RBI_z,SB_z,OBP_z,PA_z,total_z,HR_contribution,R_contribution,RBI_contribution,SB_contribution,OBP_contribution,PA_contribution,value_above_replacement,dollar_value,Position,W,L,QS,ERA,GS,SV,HLD,IP,TBF,ER,K/9,BB/9,K/BB,HR/9,K-BB%,WHIP,LOB%,GB%,HR/FB,FIP,FPTS/IP,SPTS/IP,RA9-WAR,QS_z,SV_z,HLD_z,ERA_z,WHIP_z,IP_z,QS_contribution,SV_contribution,HLD_contribution,ERA_contribution,WHIP_contribution,IP_contribution
Ha-Seong Kim,,123,532.0,464.0,115,79.0,22.0,2.0,13,64,54.0,59,3.0,94,4,4.0,2.0,,23.0,6.0,0.248507,0.11,0.177015,0.621417,0.335745,0.387739,0.318071,0.723485,0.139233,5.64938,0.284084,0.223,1.18722,65.6116,3.37928,105.485,1.41022,-2.791,4.82434618473053,2.9089999198913574,2.62931,324.5599975585937,,,,593.3,4.823577235,593.3,4.823577235,Ha-Seong Kim,27506,673490,0.3646369834704648,0.8711121603324881,0.5863395017097005,1.600226457828387,1.3446394713644496,0.9346251312549763,5.701579705960467,0.078,0.187,0.126,0.344,0.289,0.201,1.0030272592980518,5.5,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joc Pederson,TEX,105,455.0,393.0,99,60.0,16.0,1.0,22,60,64.0,49,3.0,109,10,3.0,0.0,,5.0,2.0,0.251814,0.1087,0.239831,0.453235,0.347272,0.465937,0.350997,0.813209,0.214123,3.90527,0.291403,-0.433,-0.651052,68.1731,14.9481,130.707,-1.08405,-0.00590769,14.90236783027649,-11.080908455420284,1.96115,334.0400085449219,,,,601.2,5.725714285,601.2,5.725714285,Joc Pederson,11899,592626,1.5606958154992219,0.7363059050749794,0.9318763237274962,-0.11322496459417553,1.9748108168428857,0.5946143394549955,5.6850782360054035,0.335,0.158,0.2,-0.024,0.424,0.128,0.9865257893429886,5.4,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Busch,CHC,143,616.0,541.0,128,76.0,28.0,2.0,22,73,76.0,64,1.0,170,6,4.0,1.0,,3.0,1.0,0.236371,0.1042,0.276012,0.37752,0.322148,0.415895,0.322397,0.738042,0.179523,3.60761,0.300808,-0.257,-0.935688,78.1162,6.05767,109.208,-1.19269,1.258,5.589724659919739,-9.592000365257263,1.70523,250.16000366210935,,,,688.1,4.811888111,688.1,4.811888111,Michael Busch,26319,683737,1.5606958154992219,1.1744262346618826,1.3465205101488509,-0.3036084559744603,0.6013029757914206,1.3055459950367734,5.684883075163689,0.335,0.252,0.289,-0.065,0.129,0.28,0.9863306285012738,5.4,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Bohm,PHI,143,616.0,562.0,155,103.0,33.0,1.0,17,72,77.0,42,1.0,95,6,4.0,1.0,,5.0,2.0,0.275982,0.0683,0.154046,0.443374,0.330753,0.431234,0.33032,0.761988,0.155252,3.44428,0.30378,-0.903,-0.880808,82.0442,9.98566,111.405,-1.78381,-2.876,6.617238283157349,-1.425999879837036,2.65472,183.8800048828125,,,,715.1,5.0006993,715.1,5.0006993,Alec Bohm,21618,664761,0.8962186865943568,1.1407246708475054,1.3810741923506304,-0.11322496459417553,1.0717310514261875,1.3055459950367734,5.682069631661278,0.192,0.245,0.297,-0.024,0.23,0.28,0.9835171849988633,5.4,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willi Castro,MIN,149,644.0,576.0,140,93.0,29.0,4.0,14,77,59.0,47,0.0,151,15,4.0,2.0,,22.0,6.0,0.243268,0.0724,0.235108,0.307944,0.314203,0.379481,0.30574,0.693685,0.136213,6.01215,0.304446,1.04,0.621748,73.0329,-2.301,99.5302,1.66175,-1.25583,1.3155827224254608,-4.855826258659363,1.85155,242.67999267578125,,,,657.5,4.412751677,657.5,4.412751677,Willi Castro,17338,650489,0.49753240925143777,1.3092324899193912,0.7591079127185983,1.505034712138245,0.16695654221580172,1.4291862829640392,5.667050349207514,0.107,0.281,0.163,0.323,0.036,0.307,0.9684979025450993,5.3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesús Sánchez,MIA,125,539.0,484.0,123,75.0,24.0,2.0,22,65,71.0,46,2.0,138,5,4.0,1.0,,10.0,3.0,0.254976,0.085,0.255551,0.332615,0.323288,0.448572,0.332892,0.77186,0.193596,4.42415,0.309387,-0.965,-0.152737,72.9045,9.85337,111.104,-1.11774,-0.496,6.039073348045349,-6.270999610424042,1.8298,243.5200042724609,,,,656.2,5.2496,656.2,5.2496,Jesus Sanchez,19913,660821,1.5606958154992219,0.9048137241468652,1.173752099139953,0.36273376385653633,0.6636258120754003,0.9655352032367926,5.631156417954769,0.335,0.194,0.252,0.078,0.142,0.207,0.9326039712923544,5.1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvador Perez,KCR,149,611.0,564.0,147,95.0,26.0,1.0,26,72,86.0,32,7.0,134,10,4.0,0.0,,1.0,0.0,0.259737,0.053,0.218955,0.242059,0.309167,0.444083,0.321317,0.75325,0.184346,2.08565,0.295717,-1.99972,-0.989549,76.951,5.47736,105.343,-2.98927,0.775059,0.7461154460906982,1.925058901309967,2.09219,74.5199966430664,,,,712.6,4.782550335,712.6,4.782550335,Salvador Perez,7304,521692,2.092277518623114,1.1407246708475054,1.6920573321666466,-0.49399194735474505,-0.10835732052640289,1.2834673721926189,5.606177625948737,0.449,0.245,0.363,-0.106,-0.023,0.276,0.9076251792863221,5.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler O'Neill,BAL,126,546.0,481.0,112,66.0,20.0,1.0,25,68,75.0,55,3.0,167,6,4.0,0.0,,6.0,2.0,0.232782,0.1012,0.305191,0.331596,0.3174,0.434763,0.324958,0.752163,0.201981,3.77479,0.296364,-0.022,-0.447277,70.3648,6.49478,114.997,-0.469277,-1.478,8.900062501430511,-7.028000235557556,2.07312,200.9600067138672,,,,633.7,5.029365079,633.7,5.029365079,Tyler O'Neill,15711,641933,1.9593820928421408,1.0059184155899967,1.3119668279470713,-0.018033218904033147,0.3417338295841163,0.996445275218609,5.597413222277901,0.421,0.216,0.282,-0.004,0.073,0.214,0.8988607756154865,5.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eugenio Suárez,ARI,143,616.0,545.0,129,78.0,25.0,2.0,24,71,76.0,57,0.0,176,9,4.0,1.0,,3.0,1.0,0.236327,0.0919001,0.285494,0.321898,0.316542,0.419034,0.321118,0.735575,0.182707,3.18268,0.300699,-0.893,-0.948497,77.4819,5.42344,104.166,-1.8415,0.239545,1.2274117469787598,1.8395454734563828,2.43533,174.1999969482422,,,,687.8,4.809790209,687.8,4.809790209,Eugenio Suarez,12552,553993,1.826486667061168,1.1070231070331282,1.3465205101488509,-0.3036084559744603,0.29482769490722605,1.3055459950367734,5.576795518212686,0.392,0.238,0.289,-0.065,0.063,0.28,0.8782430715502709,4.9,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis García Jr.,WSN,131,567.0,528.0,147,98.0,29.0,2.0,18,65,69.0,32,2.0,86,2,4.0,1.0,,16.0,5.0,0.277793,0.0565,0.150996,0.374182,0.31972,0.441271,0.327506,0.76099,0.163477,4.79483,0.300979,-0.583,0.0219208,74.2337,7.90708,110.464,-0.561079,0.602,6.533798038959503,2.627000093460083,2.89616,114.83999633789062,,,,678.3,5.177862595,678.3,5.177862595,Luis Garcia Jr.,20391,671277,1.0291141123753298,0.9048137241468652,1.104644734736394,0.9338842379973906,0.4685662683374748,1.0891754911640583,5.530198568757513,0.221,0.194,0.237,0.201,0.101,0.234,0.8316461220950977,4.7,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joey Ortiz,MIL,146,630.0,561.0,142,92.0,31.0,5.0,14,71,69.0,56,0.0,127,6,5.0,2.0,,13.0,4.0,0.253251,0.0886,0.201061,0.440663,0.325263,0.403094,0.318813,0.728356,0.149843,5.3242,0.300542,0.377,-0.287145,78.0741,4.37787,103.877,0.0898554,-7.79,3.010892115533352,-1.2899999618530271,2.34446,301.7200012207031,,,,683.7,4.682876712,683.7,4.682876712,Joey Ortiz,25493,687401,0.49753240925143777,1.1070231070331282,1.104644734736394,0.6483090009269634,0.7715973924796611,1.3673661390004062,5.496472783427991,0.107,0.238,0.237,0.139,0.166,0.294,0.7979203367655758,4.5,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Toglia,COL,131,567.0,501.0,113,64.0,20.0,3.0,26,68,74.0,58,2.0,170,3,4.0,1.0,,8.0,3.0,0.226585,0.1019,0.299425,0.340319,0.308489,0.436862,0.32167,0.745351,0.210276,4.89039,0.282427,0.436,-0.401798,71.5704,5.24388,93.0674,0.0342017,-0.21,-4.666290186345577,-10.334999993443487,0.400757,180.83999633789065,,,,641.1,4.893893129,641.1,4.893893129,Michael Toglia,25845,669911,2.092277518623114,1.0059184155899967,1.2774131457452917,0.1723502724762516,-0.14542300736898003,1.0891754911640583,5.491711836229733,0.449,0.216,0.274,0.037,-0.031,0.234,0.7931593895673181,4.5,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhys Hoskins,MIL,133,574.0,504.0,113,64.0,21.0,1.0,27,69,77.0,59,1.0,160,6,4.0,1.0,,3.0,1.0,0.224451,0.1027,0.279348,0.367642,0.311101,0.431356,0.322379,0.742456,0.206904,3.05747,0.26861,-1.718,-0.802765,72.7818,5.63641,106.278,-2.52077,-1.37239,1.7883095741271973,-12.122390270233154,0.90685,293.239990234375,,,,647.1,4.865413533,647.1,4.865413533,Rhys Hoskins,16472,656555,2.2251729444040866,1.039619979404374,1.3810741923506304,-0.3036084559744603,-0.00262717546218071,1.1200855631458748,5.459717047868326,0.478,0.223,0.297,-0.065,-0.001,0.24,0.7611646012059108,4.4,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Vaughn,CHW,146,630.0,574.0,146,92.0,30.0,1.0,23,71,82.0,43,0.0,128,8,4.0,1.0,,2.0,1.0,0.254318,0.0684,0.203706,0.335777,0.313397,0.432663,0.323423,0.74606,0.178346,2.62428,0.287534,-1.409,-1.02294,80.4118,6.71566,110.782,-2.43194,-2.05922,5.340293884277344,-13.509222030639648,1.32531,274.79998779296875,,,,706.5,4.839041095,706.5,4.839041095,Andrew Vaughn,26197,683734,1.6935912412801948,1.1070231070331282,1.5538426033595283,-0.3988002016646026,0.12289320357993483,1.3673661390004062,5.44591609258859,0.364,0.238,0.334,-0.086,0.026,0.294,0.7473636459261748,4.3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pete Crow-Armstrong,CHC,134,581.0,532.0,130,83.0,24.0,6.0,16,65,67.0,36,2.0,144,8,4.0,2.0,,30.0,8.0,0.243942,0.0616001,0.24708,0.249312,0.298786,0.405073,0.304062,0.70386,0.161131,7.08795,0.301341,-0.154,1.68622,65.1039,-2.86031,96.8669,1.53222,4.42,-0.6445227861404419,6.495000123977661,2.60243,131.1199951171875,,,,616.8,4.602985074,616.8,4.602985074,Pete Crow-Armstrong,27769,691718,0.7633232608133838,0.9048137241468652,1.0355373703328348,2.2665686776593836,-0.6758778147930515,1.1509956351276913,5.445360853287108,0.164,0.194,0.222,0.487,-0.145,0.247,0.7468084066246927,4.3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Castellanos,PHI,146,630.0,581.0,147,92.0,29.0,2.0,23,73,84.0,38,1.0,148,6,4.0,1.0,,6.0,2.0,0.25301,0.0603,0.235586,0.255958,0.30391,0.43053,0.316714,0.73444,0.177519,4.21442,0.299803,-1.338,-0.616308,77.0099,3.31372,102.247,-1.95431,-9.02489,-0.2612148523330688,-15.97488784790039,0.489901,178.47999572753906,,,,691.7,4.737671232,691.7,4.737671232,Nick Castellanos,11737,592206,1.6935912412801948,1.1744262346618826,1.6229499677630874,-0.018033218904033147,-0.39575306644295905,1.3673661390004062,5.444547297358579,0.364,0.252,0.348,-0.004,-0.085,0.294,0.7459948506961638,4.3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Crews,WSN,136,588.0,534.0,132,85.0,26.0,4.0,16,73,62.0,40,0.0,130,8,4.0,2.0,,24.0,7.0,0.246238,0.0682999,0.220244,0.31011,0.306068,0.401098,0.308336,0.707167,0.15486,6.20574,0.293633,0.141,0.812541,67.9109,-0.872163,97.5617,0.953541,0.366,-0.7609054446220398,-5.634000033140183,1.36183,138.8800048828125,,,,623.8,4.586764705,623.8,4.586764705,Dylan Crews,33541,686611,0.7633232608133838,1.1744262346618826,0.862768959323937,1.6954182035185292,-0.27777703074048143,1.1819057071095076,5.400065334686759,0.164,0.252,0.185,0.364,-0.06,0.254,0.701512888024344,4.1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nolan Jones,COL,120,518.0,448.0,112,69.0,24.0,3.0,16,60,57.0,61,3.0,151,5,3.0,1.0,,12.0,4.0,0.250154,0.1177,0.292412,0.402515,0.343678,0.422947,0.333878,0.766625,0.172793,4.98905,0.338288,-0.059,-0.0593759,70.4751,9.88048,101.284,-0.118376,-1.12946,0.6771255284547806,-7.079459309577942,1.12031,246.9600067138672,,,,625.9,5.215833333,625.9,5.215833333,Nolan Jones,20529,666134,0.7633232608133838,0.7363059050749794,0.6900005483150392,0.5531172552368211,1.778329875084447,0.8728049872913434,5.393881831816014,0.164,0.158,0.148,0.119,0.382,0.187,0.6953293851535989,4.1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tommy Edman,LAD,136,588.0,535.0,135,90.0,27.0,3.0,15,70,66.0,41,1.0,106,6,4.0,2.0,,23.0,5.0,0.251409,0.0691001,0.179531,0.384891,0.308979,0.394261,0.306773,0.70324,0.142852,5.90327,0.285955,0.704,1.55206,67.1711,-1.61204,97.8441,2.25606,-3.774,0.7401472330093384,-1.5739998817443848,1.93616,181.63999938964844,,,,628.1,4.618382352,628.1,4.618382352,Tommy Edman,19470,669242,0.6304278350324108,1.073321543218751,1.0009836881310552,1.600226457828387,-0.11863512159779696,1.1819057071095076,5.368230109722314,0.135,0.23,0.215,0.344,-0.025,0.254,0.6696776630598995,4.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maikel Garcia,KCR,138,595.0,541.0,142,101.0,29.0,4.0,8,69,55.0,45,0.0,104,2,4.0,2.0,,30.0,7.0,0.262092,0.0759999,0.17538,0.433343,0.319515,0.375817,0.305523,0.695331,0.113724,6.27604,0.308605,0.381,1.90799,67.372,-2.22993,94.2329,2.28899,1.808,-1.6373019218444824,4.032999873161316,2.2959,218.47999572753903,,,,614.7,4.454347826,614.7,4.454347826,Maikel Garcia,22715,672580,-0.29984014543440024,1.039619979404374,0.6208931839114801,2.2665686776593836,0.45735909163728516,1.212815779091324,5.297416566269447,-0.064,0.223,0.133,0.487,0.098,0.26,0.5988641196070317,3.7,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giancarlo Stanton,NYY,122,525.0,469.0,107,57.0,18.0,0.0,32,67,79.0,49,3.0,157,3,3.0,1.0,,1.0,0.0,0.227866,0.0932,0.29977,0.310905,0.303067,0.473503,0.331359,0.77657,0.245637,2.38698,0.263928,-2.075,-0.732783,70.3632,8.94967,116.869,-2.80778,0.0,7.32568097114563,-13.125,1.20854,326.9200134277344,,,,641.1,5.254918032,641.1,5.254918032,Giancarlo Stanton,4949,519317,2.8896500733089514,0.9722168517756196,1.4501815567541896,-0.49399194735474505,-0.44183916380032395,0.9037150592731599,5.27993242995685,0.62,0.209,0.311,-0.106,-0.095,0.194,0.5813799832944353,3.6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Robles,SEA,128,553.0,496.0,123,86.0,26.0,2.0,9,68,45.0,40,0.0,120,12,3.0,2.0,,35.0,8.0,0.248599,0.0725,0.217511,0.333316,0.317633,0.36425,0.302144,0.681883,0.115651,6.40721,0.308624,0.156,2.78691,61.1124,-3.57649,102.704,2.94291,2.692,4.653920292854309,-2.933000087738037,2.08161,198.3600006103516,,,,564.3,4.40859375,564.3,4.40859375,Victor Robles,18363,645302,-0.16694471965342725,1.0059184155899967,0.27535636189368434,2.7425274061100953,0.35447174261408637,1.0273553472004255,5.238684553754861,-0.036,0.216,0.059,0.589,0.076,0.221,0.5401321070924459,3.4,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heliot Ramos,SFG,139,602.0,545.0,136,85.0,25.0,4.0,22,69,74.0,46,1.0,158,5,4.0,1.0,,7.0,2.0,0.248874,0.0767,0.262355,0.292352,0.311682,0.429533,0.320478,0.741215,0.180659,4.51961,0.307999,-0.423,-0.537737,75.4111,4.99028,107.337,-0.960737,1.17698,4.321343004703522,-6.573023319244385,1.83788,206.8800048828125,,,,679.4,4.887769784,679.4,4.887769784,Heliot Ramos,22515,671218,1.5606958154992219,1.039619979404374,1.2774131457452917,0.07715852678610922,0.029135603380794038,1.2437258510731406,5.227748921888931,0.335,0.223,0.274,0.017,0.006,0.267,0.5291964752265157,3.3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Santana,CLE,138,595.0,523.0,124,78.0,24.0,1.0,21,68,74.0,64,2.0,108,4,4.0,1.0,,3.0,1.0,0.236542,0.1068,0.18141,0.588723,0.321953,0.406724,0.318575,0.728677,0.170182,2.81192,0.257306,-0.681,-0.866276,73.6226,4.02065,109.126,-1.54728,1.89693,4.665754199028015,-9.02807080745697,1.59795,343.9200134277344,,,,651.0,4.717391304,651.0,4.717391304,Carlos Santana,2396,467793,1.4278003897182487,1.0059184155899967,1.2774131457452917,-0.3036084559744603,0.5906424906375821,1.212815779091324,5.210981764807983,0.307,0.216,0.274,-0.065,0.127,0.26,0.5124293181455677,3.3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yainer Diaz,HOU,143,576.0,541.0,152,100.0,28.0,2.0,22,69,80.0,25,1.0,103,5,4.0,1.0,,2.0,1.0,0.280393,0.044,0.178256,0.246837,0.315805,0.460464,0.333164,0.776269,0.180071,3.08274,0.309047,-1.49891,-0.884251,78.0079,10.6519,119.69,-2.38316,0.0889704,10.589258193969728,4.838970355689526,3.19813,56.91999816894531,,,,700.6,4.899300699,700.6,4.899300699,Yainer Diaz,23003,673237,1.5606958154992219,1.039619979404374,1.4847352389559691,-0.3988002016646026,0.25453652794118115,1.1289170122835366,5.06970437241968,0.335,0.223,0.319,-0.086,0.055,0.242,0.37115192575726486,2.6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Lowe,TBR,125,539.0,475.0,111,64.0,21.0,2.0,24,70,66.0,52,2.0,140,6,4.0,1.0,,6.0,2.0,0.233406,0.0963999,0.259884,0.370934,0.315159,0.437,0.325372,0.752159,0.203594,4.50114,0.276967,0.823,-0.395934,69.6421,6.59094,116.714,0.427066,-1.914,10.73510268330574,-0.4390000104904175,2.91904,248.83999633789065,,,,624.3,4.9944,624.3,4.9944,Brandon Lowe,18882,664040,1.826486667061168,1.073321543218751,1.0009836881310552,-0.018033218904033147,0.21922025404692794,0.9655352032367926,5.0675141367906615,0.392,0.23,0.215,-0.004,0.047,0.207,0.36896169012824664,2.6,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Bell,WSN,134,581.0,514.0,128,83.0,23.0,1.0,20,67,71.0,58,2.0,115,5,4.0,1.0,,1.0,0.0,0.249602,0.0991001,0.197652,0.501388,0.328249,0.418556,0.325334,0.746805,0.168954,2.48162,0.282001,-1.62,-1.06207,75.0508,7.08658,109.002,-2.68207,-0.0111325,3.572253465652466,-14.186132720671594,0.902028,352.7200012207031,,,,654.1,4.881343283,654.1,4.881343283,Josh Bell,13145,605137,1.2949049639372758,0.9722168517756196,1.173752099139953,-0.49399194735474505,0.9348394882199752,1.1509956351276913,5.03271709084577,0.278,0.209,0.252,-0.106,0.201,0.247,0.334164644183355,2.5,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Wallner,MIN,121,525.0,454.0,105,57.0,24.0,2.0,22,64,67.0,53,1.0,178,13,4.0,1.0,,4.0,1.0,0.230718,0.1009,0.33927,0.297403,0.326009,0.435328,0.331263,0.761337,0.204611,4.02689,0.321065,0.229,-0.658197,70.3225,8.90903,117.484,-0.429197,-1.16724,10.07345262169838,-7.1922396421432495,2.10504,279.8399963378906,,,,624.6,5.161983471,624.6,5.161983471,Matt Wallner,26466,670242,1.5606958154992219,0.8711121603324881,1.0355373703328348,-0.20841671028431788,0.8123805818374206,0.9037150592731599,4.9750242769908075,0.335,0.187,0.222,-0.045,0.174,0.194,0.2764718303283926,2.2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parker Meadows,DET,133,574.0,510.0,121,76.0,23.0,6.0,15,72,54.0,53,1.0,132,5,3.0,2.0,,21.0,5.0,0.23681,0.0927,0.230809,0.401631,0.312546,0.397606,0.31003,0.710151,0.160796,6.87661,0.288034,1.079,1.07437,67.0764,-0.0690321,103.063,2.15337,0.85,4.164820432662964,2.899999976158142,2.70582,182.3999938964844,,,,609.4,4.581954887,609.4,4.581954887,Parker Meadows,23800,678009,0.6304278350324108,1.1407246708475054,0.5863395017097005,1.4098429664481023,0.07636975298549198,1.1200855631458748,4.963790290169086,0.135,0.245,0.126,0.303,0.016,0.24,0.2652378435066707,2.2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Story,BOS,144,623.0,561.0,125,77.0,30.0,1.0,17,68,71.0,51,4.0,179,6,4.0,1.0,,22.0,6.0,0.223448,0.082,0.288039,0.284683,0.293511,0.372846,0.290048,0.666358,0.149398,5.36125,0.293877,0.438,0.943133,62.7832,-10.0942,82.021,1.38113,-5.17699,-11.435082912445068,0.8480110168457031,1.05147,245.3600006103516,,,,587.5,4.079861111,587.5,4.079861111,Trevor Story,12564,596115,0.8962186865943568,1.0059184155899967,1.173752099139953,1.505034712138245,-0.9642576054930369,1.3364560670185899,4.953122374988105,0.192,0.216,0.252,0.323,-0.207,0.287,0.25456992832569014,2.1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Moreno,ARI,130,514.0,455.0,129,90.0,26.0,2.0,11,61,59.0,49,1.0,84,5,4.0,2.0,,6.0,2.0,0.283097,0.0958001,0.162804,0.58844,0.356388,0.421955,0.340818,0.778343,0.138858,3.945,0.322993,-1.05411,-0.680563,72.8585,12.685,117.425,-1.73467,4.01376,8.98408842086792,12.813765048980711,4.01509,196.47999572753903,,,,625.4,4.81076923,625.4,4.81076923,Gabriel Moreno,22664,672515,0.09884613190851875,0.7700074688893566,0.7591079127185983,-0.018033218904033147,2.473174830496169,0.8551420890160197,4.938245214124629,0.021,0.165,0.163,-0.004,0.531,0.184,0.23969276746221446,2.1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spencer Horwitz,PIT,113,490.0,417.0,111,73.0,26.0,1.0,12,57,52.0,62,2.0,94,6,3.0,1.0,,3.0,1.0,0.266624,0.1269,0.191149,0.66388,0.367688,0.416637,0.34505,0.784325,0.150013,3.04229,0.316184,-0.86,-0.879834,71.0716,13.7523,119.322,-1.73983,2.104,9.581756234169006,-6.645999908447266,1.98843,311.6000061035156,,,,605.4,5.357522123,605.4,5.357522123,Spencer Horwitz,26477,687462,0.23174155768949178,0.6352012136318479,0.5172321373061414,-0.3036084559744603,3.090936277872445,0.7491646993640777,4.920667429889544,0.05,0.136,0.111,-0.065,0.664,0.161,0.22211498322712941,2.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lourdes Gurriel Jr.,ARI,131,567.0,524.0,144,95.0,29.0,2.0,17,67,76.0,33,1.0,103,6,4.0,1.0,,6.0,2.0,0.27418,0.0579001,0.181907,0.318295,0.322371,0.437629,0.328267,0.760001,0.163449,3.92186,0.31009,-0.57,-0.706513,74.581,8.25447,108.978,-1.27651,-0.754,4.81071150302887,-9.27899956703186,1.48858,220.3999938964844,,,,660.5,5.041984732,660.5,5.041984732,Lourdes Gurriel Jr.,19238,666971,0.8962186865943568,0.9722168517756196,1.3465205101488509,-0.018033218904033147,0.6134941972750424,1.0891754911640583,4.899592518053895,0.192,0.209,0.289,-0.004,0.132,0.234,0.20104007139148017,1.9,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Shaw,CHC,123,532.0,476.0,119,79.0,20.0,3.0,17,62,63.0,44,1.0,114,6,4.0,2.0,,16.0,5.0,0.249621,0.0824001,0.215143,0.383002,0.318819,0.410065,0.317916,0.728883,0.160444,5.48321,0.29256,0.0,0.14706,65.5453,3.31297,106.192,0.14706,0.0,4.085948079824448,1.899999976158142,2.4479,999.0,,,,591.7,4.810569105,591.7,4.810569105,Matt Shaw,sa3022615,807713,0.8962186865943568,0.8037090327037337,0.8973226415257166,0.9338842379973906,0.4193093600112788,0.9346251312549763,4.885069090087453,0.192,0.173,0.193,0.201,0.09,0.201,0.18651664342503782,1.8,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Marsh,PHI,125,539.0,474.0,116,75.0,23.0,3.0,15,63,60.0,55,1.0,166,4,4.0,2.0,,15.0,4.0,0.244493,0.1015,0.307329,0.330265,0.325681,0.401194,0.318579,0.726874,0.156701,5.68759,0.339438,0.878,0.377306,66.6954,3.64422,103.503,1.25531,-1.916,3.5129913091659546,-2.2910001277923584,1.97996,317.6400146484375,,,,594.7,4.7576,594.7,4.7576,Brandon Marsh,20202,669016,0.6304278350324108,0.8374105965181109,0.7936615949203779,0.8386924923072483,0.7944490991171183,0.9655352032367926,4.860176821132058,0.135,0.18,0.17,0.18,0.171,0.207,0.1616243744696435,1.7,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob Young,WSN,139,602.0,546.0,138,102.0,28.0,2.0,6,64,52.0,40,0.0,113,10,4.0,2.0,,34.0,7.0,0.252155,0.0664,0.18831,0.352611,0.312184,0.344169,0.291435,0.656353,0.0920135,5.99534,0.305139,0.526,2.61671,61.3386,-9.08218,86.1858,3.14271,6.454,-6.801816940307617,8.603999614715576,2.25655,302.20001220703125,,,,570.8,4.10647482,570.8,4.10647482,Jacob Young,29931,696285,-0.5656309969963462,0.8711121603324881,0.5172321373061414,2.6473356604199534,0.056579519007598604,1.2437258510731406,4.7703543311429755,-0.121,0.187,0.111,0.568,0.012,0.267,0.07180188448056057,1.3,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
