Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,FPTS,FPTS/G,SPTS,SPTS/G,NameASCII,PlayerId,MLBAMID,HR_z,R_z,RBI_z,SB_z,OBP_z,PA_z,total_z,HR_contribution,R_contribution,RBI_contribution,SB_contribution,OBP_contribution,PA_contribution,value_above_replacement,dollar_value,Position,W,L,QS,ERA,GS,SV,HLD,IP,TBF,ER,K/9,BB/9,K/BB,HR/9,K-BB%,WHIP,LOB%,GB%,HR/FB,FIP,FPTS/IP,SPTS/IP,RA9-WAR,QS_z,SV_z,HLD_z,ERA_z,WHIP_z,IP_z,QS_contribution,SV_contribution,HLD_contribution,ERA_contribution,WHIP_contribution,IP_contribution
Landon Knack,LAD,37,,,49,,,,9,26,,16,,51,2,,,,,,0.243077,0.072603,0.234787,,,,,,,,0.285819,,,,,,,,,,0.24851,502.4800109863281,,,,198.7,,195.0,,Landon Knack,27487,689017,,,,,,,-0.6468887748727721,,,,,,,0.0,1.0,P,3.0,3.0,1.0,4.2983,3.0,0.0,1.0,52.0,219.0,25.0,8.95065,2.7678,3.23385,1.486,0.1621839925646782,1.25348,0.728962,,,4.35667,3.8211538461538463,3.75,0.214687,-0.37130534620062533,-0.06246723211030757,-0.1180232031574149,-0.4654262281455994,0.7733730241752318,-0.40303978943405655,-0.145,-0.024,-0.046,-0.182,0.303,-0.158
Mike Vasil,TBR,48,,,47,,,,6,23,,14,,40,2,,,,,,0.253462,0.06819,0.197243,,,,,,,,0.293135,,,,,,,,,,0.00301064,999.0,,,,195.20000000000005,,198.0,,Mike Vasil,sa3017915,678024,,,,,,,-0.6475001495908786,,,,,,,0.0,1.0,P,2.0,2.0,0.0,4.05267,0.0,0.0,1.0,48.0,204.0,22.0,7.52835,2.60267,2.89255,1.152,0.1290530562400818,1.27767,0.719791,,,4.18036,4.066666666666667,4.125,0.00428335,-0.5562200472897499,-0.06246723211030757,-0.1180232031574149,0.09531535280400692,0.5003327205498883,-0.5064377403873015,-0.218,-0.024,-0.046,0.037,0.196,-0.198
Chayce McDermott,BAL,33,,,42,,,,6,23,,21,,53,2,,,,,,0.229564,0.103257,0.254966,,,,,,,,0.287841,,,,,,,,,,0.184455,671.0399780273438,,,,213.20000000000005,,203.0,,Chayce McDermott,29866,694646,,,,,,,-0.6619588968371124,,,,,,,0.0,1.0,P,3.0,2.0,1.0,3.9627,3.0,0.0,1.0,48.0,207.0,21.0,9.82072,3.97722,2.46924,1.173,0.1517094001173973,1.31353,0.742245,,,4.12709,4.441666666666667,4.229166666666667,0.199782,-0.37130534620062533,-0.06246723211030757,-0.1180232031574149,0.30070524832994466,0.09556937668859221,-0.5064377403873015,-0.145,-0.024,-0.046,0.118,0.037,-0.198
Tony Santillan,CIN,64,,,57,,,,9,33,,29,,71,4,,,,,,0.234758,0.104099,0.258216,,,,,,,,0.29301,,,,,,,,,,0.172178,535.3599853515625,,,,328.70000000000005,,317.0,,Tony Santillan,19926,663574,,,,,,,-0.6647550815248301,,,,,,,0.0,1.0,P,3.0,3.0,0.0,4.29027,0.0,3.0,14.0,64.0,277.0,31.0,10.0517,4.05229,2.48049,1.334,0.1541169881820678,1.34676,0.735387,,,4.37887,5.135937500000001,4.953125,0.287615,-0.5562200472897499,0.09041768666384985,0.6204963024395593,-0.447094774760322,-0.2795083120038455,-0.09284593657432186,-0.218,0.035,0.243,-0.175,-0.109,-0.036
Davis Daniel,ATL,21,,,21,,,,3,10,,5,,19,1,,,,,,0.251929,0.0572257,0.214561,,,,,,,,0.295102,,,,,,,,,,0.0244275,749.280029296875,,,,87.9,,90.0,,Davis Daniel,27582,669721,,,,,,,-0.6699258604188624,,,,,,,0.0,1.0,P,1.0,1.0,0.0,3.99721,0.0,0.0,1.0,21.0,88.0,9.0,8.12053,2.16583,3.74939,1.237,0.1573355421423912,1.22904,0.72469,,,3.9945,4.185714285714286,4.285714285714286,0.023007,-0.5562200472897499,-0.06246723211030757,-0.1180232031574149,0.22192337332049586,1.0492351581398187,-1.2043739093217045,-0.218,-0.024,-0.046,0.087,0.41,-0.471
Scott Barlow,,62,,,57,,,,7,29,,26,,64,3,,,,,,0.23731,0.09775,0.240958,,,,,,,,0.296818,,,,,,,,,,0.208476,999.0,,,,265.49999999999994,,260.0,,Scott Barlow,14993,605130,,,,,,,-0.6707542077757409,,,,,,,0.0,1.0,P,3.0,3.0,0.0,3.92342,0.0,0.0,0.0,62.0,267.0,27.0,9.3475,3.79202,2.46505,1.02,0.1432081758975982,1.3329,0.732859,,,3.96994,4.282258064516128,4.193548387096774,0.369926,-0.5562200472897499,-0.06246723211030757,-0.17483239589564367,0.39037641756701014,-0.12306603799610549,-0.1445449120509443,-0.218,-0.024,-0.068,0.153,-0.048,-0.057
Elvis Peguero,MIL,58,,,55,,,,6,28,,24,,55,3,,,,,,0.248263,0.0963767,0.21966,,,,,,,,0.305433,,,,,,,,,,0.131612,999.0,,,,277.40000000000003,,277.0,,Elvis Peguero,21652,665625,,,,,,,-0.6831227025409143,,,,,,,0.0,1.0,P,3.0,3.0,0.0,3.91557,0.0,0.0,9.0,58.0,250.0,25.0,8.52865,3.74198,2.27918,0.898,0.1232830733060836,1.37172,0.727455,,,3.95896,4.782758620689656,4.775862068965517,0.156358,-0.5562200472897499,-0.06246723211030757,0.3364503387484154,0.4082969541889796,-0.5612398530740627,-0.24794286300418922,-0.218,-0.024,0.132,0.16,-0.22,-0.097
Héctor Neris,,62,,,56,,,,8,30,,25,,65,3,,,,,,0.234783,0.0953881,0.244089,,,,,,,,0.289814,,,,,,,,,,0.12762,747.0800170898438,,,,260.79999999999995,,252.0,,Hector Neris,11804,593576,,,,,,,-0.6860508859705541,,,,,,,0.0,1.0,P,3.0,3.0,0.0,4.05546,0.0,0.0,0.0,62.0,266.0,28.0,9.41217,3.6782,2.55891,1.171,0.1487012505531311,1.30755,0.732826,,,4.1344,4.2064516129032254,4.064516129032258,0.256717,-0.5562200472897499,-0.06246723211030757,-0.17483239589564367,0.08894614297275895,0.1630675584033326,-0.1445449120509443,-0.218,-0.024,-0.068,0.035,0.064,-0.057
Triston McKenzie,CLE,41,,,126,,,,22,74,,56,,121,4,,,,,,0.251078,0.0986496,0.214391,,,,,,,,0.290011,,,,,,,,,,0.304754,572.5999755859375,,,,415.0,,420.0,,Triston McKenzie,18000,663474,,,,,,,-0.6914434572125432,,,,,,,0.0,1.0,P,6.0,9.0,7.0,4.86192,19.0,0.0,1.0,128.0,563.0,69.0,8.45603,3.89095,2.17325,1.521,0.1157409697771072,1.41578,0.714374,,,4.88106,3.2421875,3.28125,0.205671,0.7381828603341222,-0.06246723211030757,-0.1180232031574149,-1.7520979288939464,-1.0585592320625932,1.5615212786775967,0.289,-0.024,-0.046,-0.685,-0.414,0.611
Noah Schultz,CHW,8,,,45,,,,6,23,,16,,41,3,,,,,,0.252211,0.0819188,0.206774,,,,,,,,0.296785,,,,,,,,,,0.588061,999.0,,,,174.60000000000002,,177.0,,Noah Schultz,sa3020949,702273,,,,,,,-0.7002385955898214,,,,,,,0.0,1.0,P,3.0,3.0,4.0,4.09316,8.0,0.0,0.0,46.0,198.0,21.0,7.98014,3.16154,2.52413,1.154,0.1248548999428749,1.33007,0.727157,,,4.28201,3.795652173913044,3.847826086956522,0.563507,0.18343875706674842,-0.06246723211030757,-0.17483239589564367,0.0028819097691593224,-0.09112291855585389,-0.558136715863924,0.072,-0.024,-0.068,0.001,-0.036,-0.218
Mason Black,SFG,41,,,54,,,,7,28,,18,,51,3,,,,,,0.247924,0.0760522,0.213122,,,,,,,,0.292767,,,,,,,,,,0.135102,748.0800170898438,,,,230.9000000000001,,232.0,,Mason Black,30171,696131,,,,,,,-0.7050205158648224,,,,,,,0.0,1.0,P,3.0,3.0,1.0,4.15912,3.0,0.0,1.0,56.0,239.0,26.0,8.22989,2.93683,2.80231,1.175,0.1370693519711494,1.29594,0.717223,,,4.17382,4.123214285714287,4.142857142857143,0.158985,-0.37130534620062533,-0.06246723211030757,-0.1180232031574149,-0.14769625527352992,0.29411335935786703,-0.29964183848081166,-0.145,-0.024,-0.046,-0.058,0.115,-0.117
Greg Weissert,BOS,61,,,59,,,,7,30,,23,,59,3,,,,,,0.250224,0.0885779,0.224234,,,,,,,,0.303956,,,,,,,,,,0.162473,999.0,,,,299.9000000000001,,302.0,,Greg Weissert,20375,669711,,,,,,,-0.7304692143760374,,,,,,,0.0,1.0,P,3.0,3.0,0.0,4.17151,0.0,0.0,12.0,61.0,261.0,28.0,8.64655,3.4156,2.53149,1.092,0.1356558501720428,1.34612,0.720036,,,4.08691,4.916393442622953,4.950819672131147,0.277266,-0.5562200472897499,-0.06246723211030757,0.5068779169631018,-0.1759810258144474,-0.27228442633537875,-0.17039439978925555,-0.218,-0.024,0.198,-0.069,-0.107,-0.067
Justin Topa,MIN,52,,,51,,,,5,25,,18,,46,3,,,,,,0.253989,0.0814631,0.205683,,,,,,,,0.30482,,,,,,,,,,0.0817856,999.0,,,,235.7,,240.0,,Justin Topa,15145,623437,,,,,,,-0.7347906073480834,,,,,,,0.0,1.0,P,3.0,3.0,0.0,3.9092,0.0,0.0,4.0,52.0,223.0,23.0,7.94484,3.14664,2.52486,0.921,0.1242199018597602,1.33868,0.7231,,,3.92457,4.532692307692308,4.615384615384615,0.0616819,-0.5562200472897499,-0.06246723211030757,0.05240437505727148,0.4228388418682094,-0.18830675543945016,-0.40303978943405655,-0.218,-0.024,0.02,0.165,-0.074,-0.158
Michael Plassmeyer,TEX,10,,,10,,,,2,5,,3,,9,1,,,,,,0.24472,0.0595104,0.219706,,,,,,,,0.28455,,,,,,,,,,0.00409444,999.0,,,,33.4,,34.0,,Michael Plassmeyer,23191,674681,,,,,,,-0.7362432625212645,,,,,,,0.0,1.0,P,1.0,0.0,0.0,4.02027,0.0,0.0,1.0,10.0,42.0,4.0,8.33634,2.25801,3.6919,1.362,0.1601959206163883,1.20506,0.732214,,,4.23193,3.34,3.4,-0.00125011,-0.5562200472897499,-0.06246723211030757,-0.1180232031574149,0.16928037019914277,1.3199051242801934,-1.4887182744431282,-0.218,-0.024,-0.046,0.066,0.516,-0.582
Lael Lockhart,DET,17,,,16,,,,2,8,,6,,16,1,,,,,,0.23897,0.0844116,0.220651,,,,,,,,0.288022,,,,,,,,,,0.0117559,999.0,,,,74.60000000000002,,74.0,,Lael Lockhart,sa3017502,679712,,,,,,,-0.7407927789541158,,,,,,,0.0,1.0,P,1.0,1.0,0.0,3.73772,0.0,0.0,1.0,17.0,72.0,7.0,8.44692,3.23142,2.61399,1.031,0.1362398117780685,1.27864,0.740223,,,3.99472,4.388235294117648,4.352941176470588,0.00877601,-0.5562200472897499,-0.06246723211030757,-0.1180232031574149,0.8143055450446876,0.4893840188336189,-1.3077718602749497,-0.218,-0.024,-0.046,0.319,0.191,-0.512
Hans Crouse,LAA,68,,,59,,,,10,34,,33,,77,3,,,,,,0.229266,0.112052,0.261546,,,,,,,,0.28802,,,,,,,,,,0.13743,999.0,,,,324.80000000000007,,308.0,,Hans Crouse,22192,668968,,,,,,,-0.7454457299987609,,,,,,,0.0,1.0,P,3.0,3.0,0.0,4.23495,0.0,0.0,13.0,68.0,294.0,32.0,10.1813,4.36189,2.33415,1.297,0.1494937241077423,1.35568,0.740218,,,4.35557,4.776470588235295,4.529411764705882,0.131576,-0.5562200472897499,-0.06246723211030757,0.5636871097013306,-0.3208063561708512,-0.3801912185081059,0.010552014378923053,-0.218,-0.024,0.22,-0.125,-0.149,0.004
