Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Gabriel Agostini",,0,0,0,6.35419,1,1,0,0,,2.65401,13,3,2,2,1,2,0,0,1,4.42284,5.13186,0.86184,1.72052,0.0994979,0.115448,-0.015950322151184082,0.287226,1.80786,0.288574,0.673105,,,6.52767,-0.0302471,-0.0311402,999,,,,,,,-4.460336160659788,-1.6806034899012448,-3.729956865310669,-1.4054049513826212,,,,,,,,,,,,,,,,,,,"Gabriel Agostini","sa3015488",698989
"Shawndrick Oduber",,0,0,0,6.08583,1,0,0,0,,1.657,8,2,1,1,0,1,0,0,1,4.90735,4.57806,1.07193,1.80369,0.116383,0.108574,0.007809646427631378,0.273902,1.63733,0.275036,0.66244,,,6.34312,-0.0302715,-0.0129976,999,,,,,,,6.0618348836898805,3.6583087739154414,7.28502357006073,4.396501415147652,,,,,,,,,,,,,,,,,,,"Shawndrick Oduber","sa3021483",806779
"Benony Robles",,0,0,0,5.81463,1,0,0,0,,1.87984,9,2,1,1,0,1,0,0,1,6.39548,5.2092,1.22773,1.68634,0.149141,0.121477,0.027663782238960266,0.265868,1.67609,0.281777,0.686421,,,6.06221,-0.0302824,0.000910378,999,,,,,,,7.710787010192871,4.101840092413012,8.39918041229248,4.468038724582744,,,,,,,,,,,,,,,,,,,"Benony Robles","sa3006135",678840
"Edgar Leon","LAD",0,0,0,5.78893,1,0,0,0,,1.81875,8,2,1,1,0,1,0,0,2,7.61033,6.33088,1.2021,1.70159,0.180932,0.150513,0.030418336391448975,0.246056,1.66503,0.268858,0.687335,,,6.19822,-0.0302953,-0.00446881,999,,,,,,,9.25875017642975,5.090721679756694,10.09375011920929,5.549828171486501,,,,,,,,,,,,,,,,,,,"Edgar Leon","sa3019161",800453
"Ronny Chalas",,0,0,0,6.3556,1,0,0,0,,1.62856,7,2,1,1,0,1,0,0,1,3.89659,4.62751,0.84205,1.56103,0.100861,0.119781,-0.018919318914413452,0.280997,1.5611,0.28002,0.599118,,,6.22445,-0.0303154,-0.0160667,999,,,,,,,5.851370954513551,3.5929642550072907,7.142818212509155,4.385961976614079,,,,,,,,,,,,,,,,,,,"Ronny Chalas","sa3015970",692830
"Anyelo Ovando","LAA",0,0,0,5.57609,1,0,0,0,,1.48743,7,2,1,1,0,1,0,0,1,5.98513,5.80513,1.03101,1.48404,0.138303,0.134143,0.0041595399379730225,0.258221,1.70428,0.273319,0.697406,,,6.06747,-0.0303479,-0.0304524,999,,,,,,,4.806950950622558,3.231724861333646,6.437129020690918,4.32769755827962,,,,,,,,,,,,,,,,,,,"Anyelo Ovando","sa3015996",694041
"Jay Allmer","BOS",0,0,0,6.73816,1,0,0,0,,1.83448,7,2,2,1,0,1,0,0,1,2.52457,4.66888,0.540723,1.1669,0.0694094,0.128364,-0.058954671025276184,0.305264,1.57861,0.303812,0.54462,,,5.96804,-0.0304008,-0.0930548,999,,,,,,,7.375172638893129,4.0203008079210045,8.172413945198059,4.454887227084033,,,,,,,,,,,,,,,,,,,"Jay Allmer","sa3067432",801829
"Andrew Hoffmann","ARI",3,3,0,4.31562,56,0,1,10,,56,244,55,29,27,7,22,,3,50,7.99409,3.57872,2.23379,1.11121,0.204191,0.0914104,0.11278083175420761,0.250373,1.37486,0.295277,0.70809,,,4.30446,-0.0304527,0.0399604,999,,,,,,,255.30000000000007,4.558928571428573,259,4.625,,,,,,,,,,,,,,,,,,,"Andrew Hoffmann","29633",694851
"Manuel Osorio","CLE",0,0,0,6.13414,1,1,0,0,,3.36364,16,4,3,2,1,2,0,0,2,4.44072,5.67352,0.782708,1.33946,0.103729,0.132526,-0.028796687722206116,0.284695,1.78797,0.29463,0.660637,,,6.15523,-0.0304577,-0.0873129,999,,,,,,,0.19090828895568812,0.05675652016680037,1.8181812763214111,0.5405403968624295,,,,,,,,,,,,,,,,,,,"Manuel Osorio","sa3021772",808130
"Kyle Roche","LAA",0,0,0,6.06579,1,0,0,0,,1.68378,8,2,1,1,0,1,0,0,1,5.06,4.99866,1.01227,1.65663,0.120781,0.119317,0.0014641135931015015,0.273908,1.66268,0.280081,0.659475,,,6.24084,-0.0304804,-0.0122851,999,,,,,,,6.259999895095826,3.717816983444915,7.41891884803772,4.406099513458857,,,,,,,,,,,,,,,,,,,"Kyle Roche","sa3067135",828314
