Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Brailer Guerrero","TBR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.206931,0.0755701,0.337209,0.224105,0.270136,0.337164,0.267844,0.6073,0.130233,4.96153,0.294717,,0.000175857,0.0814502,-0.0367075,68.169,0.000175857,0.00393692,-0.03734071127837524,0.003936924040317535,0.000103805,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Brailer Guerrero","sa3021072",806967
"Andy Weber","CHW",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.232866,0.0596188,0.224007,0.266147,0.281563,0.326444,0.268375,0.608008,0.0935785,3.77595,0.295029,,-0.00270491,0.0818817,-0.036276,68.4464,-0.00270491,0.00784248,-0.04010241245850921,0.007842478342354298,0.000103367,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Andy Weber","sa3008282",681581
"Jaime Ferrer","MIN",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.207471,0.0424953,0.277808,0.152966,0.262395,0.315108,0.256194,0.577502,0.107637,3.5597,0.276059,,-0.000848587,0.0719922,-0.0461655,60.2686,-0.000848587,0.014259,-0.04767669702414423,0.01425904966890812,0.000102387,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jaime Ferrer","sa3025246",695634
"Carlos Renzullo","COL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.235798,0.0864279,0.212849,0.406053,0.306898,0.348395,0.290995,0.655292,0.112597,4.18402,0.287892,,-0.000363498,0.100247,-0.0179111,71.2728,-0.000363498,0.00213886,-0.03441112721338868,0.002138857962563634,0.000102105,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Carlos Renzullo","sa3024879",827281
"Dylan Dreiling","TEX",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.209933,0.086693,0.253844,0.341521,0.278855,0.330389,0.270193,0.609244,0.120457,3.99792,0.265942,,-0.00120135,0.0833578,-0.0347999,72.0751,-0.00120135,0.000657342,-0.03411415126174688,0.0006573420250788331,0.0000983801,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Dylan Dreiling","sa3025251",702662
"Jordyn Adams","MIL",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.212349,0.0662814,0.307541,0.215521,0.268897,0.331204,0.264539,0.600101,0.118855,6.3611,0.292579,,0.00253033,0.0787669,-0.0393908,68.2189,0.00253033,0.00145671,-0.03492742800153792,0.0014567050384357572,0.0000969565,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jordyn Adams","23788",677941
"Angel Arredondo","TEX",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.203494,0.0940988,0.274845,0.342371,0.291601,0.303495,0.269716,0.595096,0.100001,2.54519,0.272563,,-0.00234225,0.0829707,-0.035187,71.7467,-0.00234225,0.00213886,-0.03564212401397526,0.002138857962563634,0.0000936272,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Angel Arredondo","sa3023647",802397
"Braedon Karpathios","SDP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.195518,0.111381,0.33481,0.33267,0.284703,0.311755,0.268471,0.596458,0.116237,2.5779,0.284967,,-0.00279487,0.0819597,-0.036198,73.2351,-0.00279487,0.00213886,-0.03451679856516421,0.002138857962563634,0.0000912937,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Braedon Karpathios","sa3019863",701682
"Jairo Diaz","CHC",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.204255,0.0772562,0.289463,0.266895,0.270341,0.293838,0.253306,0.564179,0.0895829,3.63764,0.280313,,-0.000297106,0.0696472,-0.0485105,60.9002,-0.000297106,0.014259,-0.04663840649300255,0.01425904966890812,0.000091149,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Jairo Diaz","sa3018606",801260
"Gregory Barrios","TBR",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.228181,0.0406104,0.185778,0.218596,0.266552,0.310005,0.254461,0.576556,0.0818241,5.77534,0.27291,,0.00432259,0.070585,-0.0475727,58.9503,0.00432259,0.0104961,-0.04405925655737519,0.010496087372303009,0.0000874983,999,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,,,,"Gregory Barrios","sa3015800",699126
