Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Andy Ibáñez","ATH",53.653,185.259,170.025,40.7219,27.6702,8.59168,0.381886,4.07818,19.8242,18.2875,11.7978,0.0477153,36.4528,1.7643,1.24337,0.428449,3.08761,2.52249,0.855723,0.239505,0.0636828,0.196766,0.323647,0.293696,0.366487,0.289452,0.660183,0.126981,4.06431,0.280285,,-0.117822,18.3396,-3.55022,81.117,-0.117822,0.36,-4.240922786295414,0.41174863651394844,0.260604,999,,,,,,,168.2,3.114814814,168.2,3.114814814,,,,,,,,,,,,,,,,,,,"Andy Ibanez","18819",628451
"Jose Iglesias",,45.718,159.418,145.188,37.5716,28.615,7.0998,0.319323,1.53756,16.1144,14.4102,7.72981,0.102271,27.4177,2.29843,0.892536,0.830798,4.09953,1.8064,0.672626,0.258779,0.0484877,0.171986,0.281928,0.304915,0.343849,0.2866,0.648764,0.0850699,3.88966,0.307654,,-0.168607,15.4123,-3.42419,81.5873,-0.168607,-0.43,-3.637889578938484,0.7886335253715515,0.260502,999,,,,,,,137.9,2.997826086,137.9,2.997826086,,,,,,,,,,,,,,,,,,,"Jose Iglesias","10231",578428
"Endy Rodríguez","PIT",26.381,97.874,88.958,21.0632,13.6561,5.04796,0.430755,1.92845,9.9388,10.2591,7.22604,0.167764,20.1912,0.811177,0.753914,0.124913,1.49868,0.581009,0.19798,0.236777,0.07383,0.206298,0.35788,0.297705,0.368242,0.291531,0.665947,0.131465,3.75021,0.283091,,-0.106979,9.85416,-1.71041,83.4097,-0.106979,0.4,-2.0314731150865555,1.3160069286823273,0.259958,999,,,,,,,87.8,3.376923076,87.8,3.376923076,,,,,,,,,,,,,,,,,,,"Endy Rodriguez","25332",682848
"Sam Haggerty","TEX",59.978,219.207,196.482,47.58,34.266,8.99362,1.49596,2.82438,27.2081,16.0887,17.6969,0.384101,48.2116,2.54578,1.26631,1.21594,3.56581,11.6611,2.91768,0.242159,0.0807313,0.219936,0.367067,0.311126,0.346284,0.291493,0.65741,0.104125,6.67922,0.305057,,0.780066,22.0635,-3.83754,86.7477,0.780066,-0.17,-2.643802225589752,-2.3621784895658493,0.259748,999,,,,,,,210.2,3.503333333,210.2,3.503333333,,,,,,,,,,,,,,,,,,,"Sam Haggerty","18054",664059
"Anthony Santander","TOR",27.357,115.687,103.038,23.7439,13.2653,4.60563,0.105186,5.76786,14.019,16.2557,10.4047,0.34548,25.263,1.27069,0.865864,0.107892,1.71955,0.329858,0.0841685,0.230439,0.0899381,0.218374,0.411853,0.306451,0.445113,0.323369,0.751564,0.214674,2.48935,0.246677,,-0.130866,14.638,0.968725,107.904,-0.130866,0,0.9468590021133423,-2.427511692047119,0.255894,739.780029296875,,,,,,,135.3,5.011111111,135.3,5.011111111,,,,,,,,,,,,,,,,,,,"Anthony Santander","14551",623993
"Kyle Isbel","KCR",117.792,443.918,401.735,92.2217,63.9726,17.3517,4.37436,6.52307,48.3063,35.2028,27.9452,0.565285,88.4372,3.90499,2.75225,7.58061,8.3314,9.40567,2.92211,0.229559,0.0629513,0.19922,0.31599,0.284349,0.34324,0.275711,0.627588,0.113681,6.05106,0.27687,,0.0556222,38.9929,-13.4595,71.4542,0.0556222,0.25,-14.879795901477337,2.067777633666992,0.252397,999,,,,,,,355.8,3.015254237,355.8,3.015254237,,,,,,,,,,,,,,,,,,,"Kyle Isbel","21614",664728
"Sung-Mun Song","SDP",64.548,257.365,236.593,53.0037,35.2768,11.4495,0.503375,5.77413,25.9201,25.61,17.8095,0.748103,52.805,0.797514,1.72115,0.443667,4.16546,4.12698,1.16217,0.224029,0.0691996,0.205175,0.33727,0.278727,0.349893,0.274806,0.62862,0.125864,4.20284,0.262773,,-0.00131917,22.4172,-7.99247,77.5744,-0.00131917,0,-6.8418128489283845,0.6559755206108093,0.243172,999,,,,,,,215.6,3.316923076,215.6,3.316923076,,,,,,,,,,,,,,,,,,,"Sung-Mun Song","sa3012529",823550
"Blake Perkins","MIL",54.096,207.927,185.7,39.5937,27.0864,7.67792,1.10089,3.72851,21.7733,18.0224,18.8457,0.313479,57.0067,1.33054,1.30745,0.743777,2.94795,6.55952,1.82921,0.213214,0.090636,0.274167,0.330587,0.288488,0.326651,0.273747,0.615139,0.113437,5.72606,0.284032,,0.252868,17.9323,-6.63589,73.8652,0.252868,0.8,-6.18770295381546,1.6348147988319397,0.241958,999,,,,,,,172.2,3.188888888,172.2,3.188888888,,,,,,,,,,,,,,,,,,,"Blake Perkins","19921",663368
"Luis Urías","ARI",30.875,116.923,103.292,23.8357,16.5445,4.33133,0.230665,2.72923,12.3377,12.4996,10.0555,0.0654313,20.5459,2.36273,0.883483,0.161512,2.36519,0.720732,0.23338,0.23076,0.0860008,0.175721,0.489416,0.310941,0.356425,0.296597,0.667367,0.125666,3.29393,0.260894,,-0.142197,12.253,-1.5624,87.7792,-0.142197,-0.17,-1.835726723074913,0.3064660280942917,0.241539,999,,,,,,,109.1,3.519354838,109.1,3.519354838,,,,,,,,,,,,,,,,,,,"Luis Urias","16622",649966
"Juan Brito","CLE",28.467,113.572,101.57,23.342,15.3281,5.36407,0.297618,2.35215,11.7638,11.0118,9.81515,0.431317,22.473,0.940012,0.865265,0.381626,1.84242,1.55617,0.556424,0.229812,0.0864222,0.197874,0.436753,0.301237,0.357958,0.289756,0.659195,0.128146,3.90917,0.270452,,-0.0859761,11.271,-2.14839,85.3305,-0.0859761,0,-2.049601435661316,0.43930551409721375,0.235182,999,,,,,,,94.1,3.360714285,94.1,3.360714285,,,,,,,,,,,,,,,,,,,"Juan Brito","sa3009808",682877
"Joshua Báez","STL",26.663,91.643,82.2947,19.5074,11.4555,4.71984,0.296027,3.03606,11.3228,10.5739,7.17064,0.314251,26.4227,1.36926,0.676063,0.132376,0.89072,3.64863,0.572983,0.237043,0.0782453,0.288322,0.271382,0.306492,0.412268,0.311438,0.71876,0.175225,5.89708,0.307807,,0.365151,10.708,-0.120297,101.078,0.365151,0,0.482281893491745,-1.2343981266021729,0.234998,999,,,,,,,101.5,3.759259259,101.5,3.759259259,,,,,,,,,,,,,,,,,,,"Joshua Baez","sa3017022",695491
"Javier Báez","DET",94.763,363.6,338.881,77.4077,53.4379,14.2881,0.679354,9.0024,36.4869,37.954,13.5716,0.0917181,91.2697,4.71944,2.58005,0.552736,7.10783,5.53104,1.57175,0.228422,0.0373257,0.251017,0.148698,0.266013,0.354289,0.270225,0.620302,0.125867,4.37215,0.283618,,-0.0103759,30.3184,-12.6438,70.4411,-0.0103759,0.02,-12.677714311517775,2.4573199935257435,0.234718,743.3300170898438,,,,,,,285.9,3.009473684,285.9,3.009473684,,,,,,,,,,,,,,,,,,,"Javier Baez","12979",595879
"Taylor Walls","TBR",83.474,318.28,283.139,59.2619,39.9815,12.7799,1.58194,4.91851,34.6712,24.8635,29.359,0.354755,75.4952,1.23843,2.65996,1.53812,3.64456,14.4209,3.96561,0.209303,0.0922427,0.237198,0.388886,0.284009,0.317728,0.268185,0.601736,0.108425,6.05842,0.264592,,0.796601,26.0121,-11.5951,68.4038,0.796601,-0.64,-11.056067645549774,2.3872205018997192,0.233869,999,,,,,,,248.9,2.99879518,248.9,2.99879518,,,,,,,,,,,,,,,,,,,"Taylor Walls","22458",670764
"Matt Vierling","DET",68.57,267.938,242.181,57.3793,39.58,10.9428,0.927763,5.92868,28.8124,26.0732,20.6179,0.196061,59.9575,2.48792,2.13146,0.520051,4.85433,3.13764,0.966981,0.236928,0.0769503,0.223774,0.343876,0.300971,0.363215,0.292239,0.664187,0.126288,4.13824,0.288358,,-0.181006,27.1307,-4.52825,85.6058,-0.181006,-0.85,-4.72663514316082,-2.2256327867507935,0.232221,999,,,,,,,243.1,3.523188405,243.1,3.523188405,,,,,,,,,,,,,,,,,,,"Matt Vierling","21558",663837
"Noelvi Marte","CIN",122.554,505.677,466.886,115.96,76.5213,22.4382,1.39222,15.6078,59.4537,56.564,30.3481,1.25903,116.86,4.68971,3.13856,0.614501,8.66886,14.3583,4.2891,0.248368,0.0600147,0.231096,0.259697,0.298968,0.40268,0.30393,0.701647,0.154312,5.1532,0.297288,,0.387026,56.0031,-3.7465,88.9067,0.387026,-2.64,-6.2615267634391785,-8.313796281814575,0.230067,142.47000122070312,,,,,,,522.9,4.251219512,522.9,4.251219512,,,,,,,,,,,,,,,,,,,"Noelvi Marte","26517",682622
"Jeremiah Jackson","BAL",52.915,213.235,199.337,46.0993,30.0294,9.34732,0.83045,5.8922,23.395,22.3755,10.8572,0.0470077,50.7241,1.29538,1.47527,0.269696,3.48563,3.82638,1.26013,0.231263,0.0509166,0.237879,0.214044,0.273528,0.375164,0.281476,0.648691,0.143901,5.00666,0.278836,,-0.02893,19.7283,-5.46711,79.8868,-0.02893,-0.46,-5.083836376667023,-0.07892492413520813,0.222677,999,,,,,,,187.6,3.539622641,187.6,3.539622641,,,,,,,,,,,,,,,,,,,"Jeremiah Jackson","22239",669236
