Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Matt Festa","CLE",2.10988,2.04131,0,4.44931,55.893,0,1,12.283,,57.3257,246.205,51.8327,30.32,28.34,8.1115,22.6035,1.37802,3.41888,58.1131,9.12362,3.5487,2.57098,1.27349,0.236036,0.0918077,0.14422807842493057,0.235408,1.29848,0.283982,0.699368,,,4.30896,0.279673,-0.0219054,999,,,,,,,279.2,4.898245614035088,272,4.771929824561403,,,,,,,,,,,,,,,,,,,"Matt Festa","19330",670036
"Jonathan Loáisiga","ARI",1.73082,1.48475,0,4.36954,50.374,0,1,11.2229,,52.4403,224.807,54.9429,27.33,25.46,5.58135,14.5602,1.29297,2.74033,38.3216,6.57689,2.49887,2.63195,0.957892,0.170464,0.0647675,0.10569693148136139,0.264777,1.32537,0.301715,0.683638,,,4.04695,0.277624,0.0175892,999,,,,,,,239,4.596153846153846,253,4.865384615384615,,,,,,,,,,,,,,,,,,,"Jonathan Loaisiga","19753",642528
"Pierson Ohl","COL",0.765048,1.3352,0,4.92095,17.371,1.41,0,0,,32.6827,141.277,36.8799,19.18,17.87,4.79878,6.96424,1.08165,1.00393,26.9926,7.43309,1.91778,3.87589,1.32146,0.191061,0.0492948,0.14176617562770844,0.276649,1.34151,0.316014,0.664339,,,4.12353,0.276405,-0.098476,999,,,,,,,116.50000000000004,3.5303030303030316,130,3.9393939393939394,,,,,,,,,,,,,,,,,,,"Pierson Ohl","30179",701487
"Mike Vasil","CHW",2.2149,2.28139,0,4.25805,56.894,0.819,1,0,,71.6313,307.248,64.471,36.33,33.89,8.43389,28.9794,2.10795,4.23338,59.2949,7.45001,3.64107,2.04611,1.05966,0.192987,0.0943192,0.09866786003112793,0.235266,1.3046,0.271621,0.699637,,,4.40119,0.274516,0.224856,999,,,,,,,292.0000000000001,4.055555555555557,280,3.888888888888889,,,,,,,,,,,,,,,,,,,"Mike Vasil","30105",678024
"Luke Little","CHC",0.895459,0.508999,0,2.87125,19.48,0,0,0.7226,,19.9356,83.7033,14.0165,6.75,6.36,0.82698,10.6707,0.565033,1.44419,22.2424,10.0414,4.81733,2.08443,0.373343,0.265729,0.127483,0.13824617862701416,0.195793,1.23835,0.271843,0.762331,,,3.26609,0.273716,0.356855,999,,,,,,,111.29999999999998,5.5649999999999995,99,4.95,,,,,,,,,,,,,,,,,,,"Luke Little","28036",681432
"Gavin Stone","LAD",1.15585,1.02252,0.15809,4.4009,10.301,2.588,0,0.7772,,23.9678,102.434,23.6978,12.53,11.72,3.08851,7.66047,0.395651,0.848987,20.5584,7.71974,2.87654,2.68369,1.15975,0.200699,0.0747845,0.12591417878866196,0.252307,1.30835,0.293256,0.696458,,,4.15994,0.273242,0.117318,999,,,,,,,97.30000000000001,4.054166666666667,100,4.166666666666667,,,,,,,,,,,,,,,,,,,"Gavin Stone","27792",694813
"José Suarez","ATL",0.956722,0.908459,0,4.42894,24.999,0.578,0,0.6492,,31.9851,138.396,30.8614,16.91,15.74,3.74811,12.4207,0.944413,1.43722,32.0332,9.01353,3.49495,2.57901,1.05465,0.231461,0.0897478,0.14171314984560013,0.247808,1.3532,0.30548,0.693369,,,3.95529,0.27317,0.026845,999,,,,,,,136.00000000000003,4.250000000000001,137,4.28125,,,,,,,,,,,,,,,,,,,"Jose Suarez","19911",660761
"Walker Buehler","SDP",2.24028,3.32304,0.522216,4.77074,20.912,7.112,0,0.6537,,51.7467,224.557,50.6406,29.35,27.43,7.57128,20.2189,0.837612,2.538,39.7484,6.9132,3.51656,1.9659,1.31683,0.177008,0.0900392,0.0869690328836441,0.250945,1.36935,0.278802,0.688843,,,4.82028,0.272773,0.187393,999,,,,,,,168.79999999999998,3.2461538461538457,171,3.2884615384615383,,,,,,,,,,,,,,,,,,,"Walker Buehler","19374",621111
"Cole Henry","WSN",2.20133,2.11778,0,4.16962,62.493,0,12,7.9996,,62.574,268.61,51.4607,30.95,28.99,7.80233,29.0944,1.54879,4.47449,60.9226,8.76248,4.18464,2.09396,1.12221,0.226807,0.108314,0.1184920221567154,0.218943,1.28736,0.262502,0.712391,,,4.41829,0.270387,0.196311,732.8800048828125,,,,,,,350.20000000000005,5.558730158730159,326,5.174603174603175,,,,,,,,,,,,,,,,,,,"Cole Henry","27570",669371
"Brooks Raley","NYM",2.69997,1.91715,0,4.43987,55.646,0,2,14.1176,,55.1368,237.471,52.2288,29.18,27.2,7.86685,19.893,1.13038,3.23496,55.4521,9.05147,3.24714,2.78752,1.28411,0.233511,0.0837703,0.1497407779097557,0.243669,1.30805,0.293741,0.702717,,,4.23692,0.269541,-0.0265106,999,,,,,,,280.40000000000003,5.098181818181819,278,5.054545454545455,,,,,,,,,,,,,,,,,,,"Brooks Raley","10061",548384
