Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Abraham Toro","KCR",12.7426,37.6424,34.2804,8.06001,5.4082,1.70982,0.128633,0.813359,3.89651,3.78998,2.48179,0.0738275,7.00315,0.496117,0.316455,0.0676546,0.526658,0.398009,0.107273,0.23512,0.0659306,0.186044,0.354382,0.293759,0.363682,0.287917,0.657441,0.128562,4.11308,0.270596,-0.0642873,-0.0192034,3.67946,-0.768288,82.4919,-0.0834907,0.22634,-0.8624259978532791,-0.46520964801311493,-0.00548937,999,2.71641,2.29543,1.96911,2.71641,-2.29543,2.37452,32,2.461538461,32,2.461538461,,,,,,,,,,,,,,,,,,,"Abraham Toro","19844",647351
"Denzer Guzman","LAA",8.84918,35.0416,32.196,6.86101,4.44408,1.69978,0.0347477,0.682403,3.26756,3.09157,2.59857,0.0146538,11.1415,0.111181,0.0826929,0.0531125,0.331593,0.361637,0.0914436,0.213101,0.0741569,0.317951,0.233234,0.273541,0.33164,0.267683,0.605181,0.118539,3.486,0.302062,-0.00141639,-0.0122509,2.84959,-1.29084,67.7627,-0.0136673,-0.190969,-1.3450856832787395,0.08215343952178955,-0.00581728,999,2.47188,-0.204468,1.96559,2.47188,0.204468,2.37921,31.4,3.488888888,31.4,3.488888888,,,,,,,,,,,,,,,,,,,"Denzer Guzman","28816",694203
"Miguel Andujar","SDP",86.3686,339.297,316.84,83.8441,59.6787,14.7366,1.13945,8.28934,36.5901,39.1855,18.1061,0.892734,51.6972,1.8125,2.08186,0.45708,6.99495,2.28446,0.81181,0.264626,0.0533636,0.152366,0.350234,0.306229,0.396818,0.304828,0.703047,0.132191,3.54753,0.291791,-0.211945,-0.395141,37.8242,-2.26632,94.1093,-0.607086,-0.809448,-2.969377636909485,-8.571335792541504,-0.00587652,735.77001953125,1.7548,1.65307,1.07672,1.7548,-1.65307,3.56437,338.8,3.939534883,338.8,3.939534883,,,,,,,,,,,,,,,,,,,"Miguel Andujar","15878",609280
"Connor Joe","SEA",10.2319,27.7727,24.3871,5.07394,3.34026,1.05317,0.117235,0.56327,2.87336,2.37557,2.73893,0.0168417,6.68198,0.36295,0.258104,0.025708,0.47787,0.501152,0.172471,0.208059,0.0986193,0.240595,0.409897,0.294656,0.33015,0.279254,0.624806,0.122091,4.76308,0.259235,-0.0338868,-0.0128169,2.51939,-0.762176,83.4429,-0.0467037,-0.118858,-0.5886754281818867,-0.4249952509999275,-0.0059114,999,0.857813,-1.47352,1.99352,0.857813,1.47352,2.34197,27.2,2.72,27.2,2.72,,,,,,,,,,,,,,,,,,,"Connor Joe","16572",656582
"Ben Rortvedt","NYM",11.5353,40.4188,36.0303,7.06999,5.57313,0.970532,0.0134279,0.512899,3.61376,3.35904,3.63743,0.0178616,10.5831,0.397535,0.088879,0.264687,0.636666,0.0657043,0.0401524,0.196224,0.0899934,0.261837,0.343701,0.276558,0.266611,0.248879,0.543169,0.0703876,1.9779,0.262041,-0.0138548,-0.0666138,2.66979,-2.10601,55.6756,-0.0804686,-0.121042,-2.1979080960154533,0.7690298110246658,-0.00623408,999,2.28503,1.30961,1.92024,2.28503,-1.30961,2.43968,27.5,2.291666666,27.5,2.291666666,,,,,,,,,,,,,,,,,,,"Ben Rortvedt","20287",666163
"Drew Waters","KCR",9.73698,34.4071,31.6101,7.05058,4.72826,1.75944,0.115025,0.447856,4.08923,2.85626,2.45628,0.00851354,10.2792,0.231941,0.0823466,0.0263818,0.395852,0.502643,0.187282,0.223048,0.0713887,0.298751,0.238957,0.283263,0.32849,0.271433,0.611754,0.105443,4.83505,0.314933,0.0336867,-0.0250716,2.90274,-1.16272,71.1688,0.00861509,-0.218014,-1.1638374803587794,-0.06775148212909698,-0.00686565,999,2.5484,1.15852,1.96801,2.5484,-1.15852,2.37599,20.9,2.09,20.9,2.09,,,,,,,,,,,,,,,,,,,"Drew Waters","20505",671221
"Rece Hinds","CIN",11.7126,38.9706,36.4174,8.17905,4.65225,1.84536,0.0794543,1.60198,5.00067,5.10489,2.23592,0.0564263,13.5704,0.204957,0.0900086,0.0223612,0.415911,1.24579,0.208139,0.224592,0.0573745,0.348221,0.164764,0.272668,0.411596,0.294671,0.684264,0.187004,5.70022,0.308276,-0.0865929,0.117467,4.02301,-0.581672,82.5644,0.0308741,-0.0589288,-0.7744475658982992,-0.6011801324784756,-0.00808944,747.3599853515625,2.6367,0.543768,1.9302,2.6367,-0.543768,2.4264,41.3,3.441666666,41.3,3.441666666,,,,,,,,,,,,,,,,,,,"Rece Hinds","27493",677956
"Stuart Fairchild","CLE",9.02532,29.4607,26.5044,5.76913,3.95177,1.25618,0.0467963,0.514384,3.31026,2.66389,2.27991,0.0218143,7.97213,0.478682,0.076469,0.121308,0.417382,1.15873,0.202882,0.217667,0.0773882,0.270602,0.285985,0.290658,0.326816,0.275911,0.617474,0.109149,5.69289,0.290409,-0.0793786,0.104507,2.59255,-0.888457,75.7932,0.0251285,-0.0489075,-0.8154009245336056,-0.28104032576084137,-0.00843577,999,1.9405,0.0445939,1.99988,1.9405,-0.0445939,2.3335,26.8,2.977777777,26.8,2.977777777,,,,,,,,,,,,,,,,,,,"Stuart Fairchild","20321",656413
"Akil Baddoo","MIL",8.51081,31.3133,27.8698,5.94463,3.71725,1.53269,0.087893,0.606803,3.89754,3.47892,3.23419,0.0656201,8.91228,0.0776336,0.0893526,0.0423908,0.261492,0.900699,0.204253,0.2133,0.103285,0.284616,0.362891,0.296008,0.339921,0.282695,0.635929,0.126621,5.5437,0.28947,0.0148795,0.0505244,2.92806,-0.77185,79.9951,0.0654039,-0.0580682,-0.6770322173833847,-0.45208704471588135,-0.00893368,999,2.13319,-0.0978989,1.9648,2.13319,0.0978989,2.38027,31.7,3.522222222,31.7,3.522222222,,,,,,,,,,,,,,,,,,,"Akil Baddoo","22168",668731
"Will Wagner","SDP",22.9811,82.9431,75.1084,18.2507,13.2832,3.89668,0.0521741,1.0186,8.3769,7.76666,7.08985,0.0565825,15.1185,0.332403,0.192442,0.220013,1.77211,0.390296,0.147587,0.242992,0.0854786,0.182276,0.468952,0.310348,0.336947,0.288642,0.647295,0.0939553,2.51964,0.291261,-0.0274688,-0.118698,8.15634,-1.64402,82.9903,-0.146166,-0.524716,-1.813646525144577,-1.1157938241958618,-0.0125117,999,3.29093,0.425812,1.81832,3.29093,-0.425812,2.57558,67.8,2.947826086,67.8,2.947826086,,,,,,,,,,,,,,,,,,,"Will Wagner","29634",695238
