Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,K,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,Pos,QS+W,SV+HLD,Impact_ERA,Impact_WHIP,QS+W_Z,SV+HLD_Z,K_Z,Impact_ERA_Z,Impact_WHIP_Z,Total_Z,Rep_Level,Z_Above_Rep,Base_Value,Value,Target,Tier,Primary_Pos,Pos_Tier
Ronel Blanco,HOU,1.07163,1.12102,0.905321,4.08858,9.98806,2.08279,0.0,0.449492,0.380024,19.2906,81.1783,16.9577,9.52549,8.76345,2.76282,7.79839,0.0691615,0.286629,19.6749,9.17931,3.63833,2.52294,1.28899,0.242366,0.096065,0.1463014408946037,0.232001,1.28333,0.280224,0.729151,,,4.21452,0.154607,0.0782751,999.0,0.765089,-0.114812,1.18019,0.765089,0.114812,3.42641,75.49999999999999,3.973684210526315,72,3.789473684210526,,,,,,,,,,,,,,,,,,,Ronel Blanco,19407,669854,RP,1.9769510000000001,0.449492,0.11015962427476352,0.12070035876851128,-0.5160893023762858,-0.5629794858305157,-0.7770243756739643,0.027715267923777993,0.01591600886921616,-1.9009910303723694,4.921431591770853,-6.822422622143222,0.37,0.0,False,7,RP,RP 7
Yaramil Hiraldo,BAL,0.904567,1.05794,0.0,4.19419,30.4814,0.0,0.0,2.63786,1.00277,32.7769,138.204,29.8343,16.603,15.2747,4.7864,12.0971,0.355347,0.891701,33.4385,9.18166,3.32168,2.76417,1.31427,0.24195,0.0875311,0.1544193178415298,0.238265,1.2793,0.28794,0.718936,,,4.18199,0.151572,-0.0250025,999.0,2.00751,-1.33231,1.03241,2.00751,1.33231,3.62345,143.70000000000005,4.354545454545456,139,4.212121212121212,,,,,,,,,,,,,,,,,,,Yaramil Hiraldo,25215,682274,RP,0.904567,2.63786,-0.19743877982585223,0.33706598396729726,-0.6735177490543567,-0.28000103091460843,-0.4730808837964921,-0.049673995508269,0.04444680401177349,-1.5573478220440258,4.921431591770853,-6.478779413814879,0.0,0.0,False,7,RP,RP 7
Mason Fluharty,TOR,2.43239,1.69635,0.0,4.00445,39.9364,0.0,0.242473,3.31451,1.68793,40.4204,171.637,35.4818,19.5485,17.9846,4.98394,16.7627,1.63179,1.76935,41.4754,9.2349,3.73238,2.47427,1.10972,0.241646,0.0976635,0.1439820602536201,0.231748,1.29253,0.285973,0.722293,,,4.06132,0.150506,0.0506361,999.0,1.68009,-1.6503,0.844345,1.68009,1.6503,3.87421,180.5,4.5125,172,4.3,,,,,,,,,,,,,,,,,,,Mason Fluharty,31553,689254,RP,2.43239,3.556983,0.6086449201702159,-0.11912199114767943,-0.44922980584648503,-0.16114898847125636,-0.295600904004137,0.15313012498017659,-0.01570787930516068,-0.8233434631144311,4.921431591770853,-5.744775054885284,0.0,0.0,False,7,RP,RP 7
Austin Gomber,TEX,0.77394,1.89736,0.775587,5.08737,6.35724,4.33885,0.0,0.0,0.0,24.009,102.36,25.3428,14.7515,13.5714,4.23419,6.69168,0.205992,0.459133,17.0673,6.39784,2.50844,2.55053,1.58722,0.166738,0.065374,0.1013642102479934,0.266181,1.33427,0.285609,0.662014,,,4.89957,0.148617,-0.0615985,999.0,7.23917,-2.20761,1.07988,7.23917,2.20761,3.56017,76.40000000000003,3.183333333333335,81,3.375,,,,,,,,,,,,,,,,,,,Austin Gomber,16561,596295,SP,1.5495269999999999,0.0,-2.527342610949747,-1.072930866034592,-0.5788361322366044,-0.6211034172977374,-0.8346083689184425,-0.6358589007433535,-0.14148074913857211,-3.4502780871891052,4.8385671445016785,-8.288845231690784,0.0,0.0,False,7,SP,SP 7
Hayden Wesneski,HOU,1.46606,1.43764,0.903247,4.20283,14.6014,2.04774,0.0,0.537285,0.0573863,24.0229,100.051,22.1193,12.1938,11.2183,3.7465,7.17324,0.171297,0.851967,23.1439,8.67068,2.6874,3.22642,1.40359,0.231321,0.0716957,0.1596250236034393,0.240359,1.21936,0.28207,0.711043,,,4.23793,0.142998,0.135091,999.0,1.07961,-1.66981,1.1303,1.07961,1.66981,3.49293,97.20000000000005,4.050000000000002,94,3.9166666666666665,,,,,,,,,,,,,,,,,,,Hayden Wesneski,27581,669713,RP,2.369307,0.537285,-0.16784865877732186,1.6869343092314415,-0.45849053586650834,-0.5516269493775827,-0.7004179664988248,-0.042229361068417265,0.2224455809531411,-1.6215644435298493,4.921431591770853,-6.542996035300702,0.0,0.0,False,7,RP,RP 7
Justin Bruihl,STL,2.14869,2.83247,0.0,4.13889,46.805,0.0,0.162999,8.58687,2.15256,47.3959,205.09,45.4941,23.6916,21.7963,5.01728,18.308,3.95599,3.36629,42.5977,8.08888,3.47651,2.32673,0.952731,0.207702,0.089268,0.1184341460466384,0.248038,1.34615,0.29806,0.706446,,,4.08569,0.141892,0.0571282,999.0,2.705,-2.31332,0.756252,2.705,2.31332,3.99166,228.3,4.857446808510638,229,4.872340425531915,,,,,,,,,,,,,,,,,,,Justin Bruihl,23779,677865,RP,2.14869,8.749868999999999,0.005650918642457027,-2.6812500437956173,-0.4908776207360849,0.5103444974664132,-0.27081699710956814,0.0014217252938387437,-0.3535598395319177,-0.7117310996196776,4.921431591770853,-5.63316269139053,0.0,0.0,False,7,RP,RP 7
Austin Warren,NYM,2.69501,2.09572,0.0,4.17236,33.9708,0.0,0.0,1.72473,0.0,38.1491,162.779,36.0189,19.2236,17.6857,5.02433,13.9968,0.513132,1.74957,34.5468,8.15017,3.30207,2.4682,1.18532,0.212231,0.0859863,0.1262450590729713,0.244972,1.31106,0.288425,0.7164,,,4.2744,0.140561,0.0875263,999.0,1.09011,-0.49509,0.842458,1.09011,0.49509,3.87672,156.1,4.1078947368421055,155,4.078947368421052,,,,,,,,,,,,,,,,,,,Austin Warren,24937,681810,RP,2.69501,1.72473,-0.1372452646667123,-0.8193472128551981,-0.4106765836176985,-0.39807811691539186,-0.44860614084785927,-0.03452979534516331,-0.1080422431202733,-1.415178658586034,4.921431591770853,-6.336610250356887,0.0,0.0,False,7,RP,RP 7
José Buttó,SFG,3.4674,3.54888,0.24846,3.99478,54.5062,0.339775,2.18126,12.4751,2.35606,62.1832,267.358,57.0332,30.001,27.6009,6.84351,26.388,1.38168,2.98327,56.9865,8.24787,3.81922,2.15957,0.990486,0.213147,0.0986991,0.114448182284832,0.239649,1.34154,0.288187,0.723455,,,4.14998,0.140291,0.245292,999.0,1.61438,-0.216076,0.592603,1.61438,0.216076,4.20986,309.49999999999994,4.991935483870967,304,4.903225806451613,,,,,,,,,,,,,,,,,,,Jose Butto,23313,676130,RP,3.71586,14.65636,1.0031580380186436,-3.230929596934578,-0.26081344710008103,1.2741144379676055,0.046932873267845704,0.25238642539512746,-0.42604267829270315,0.955829745154979,4.921431591770853,-3.965601846615874,0.0,0.0,False,7,RP,RP 7
DL Hall,MIL,2.67094,2.4497,0.0101149,4.04058,46.5426,0.223409,0.167698,5.1874,0.555003,55.7616,239.726,50.4623,27.2113,25.0344,6.16019,24.5737,0.757349,2.42385,52.712,8.5078,3.96624,2.14506,0.994264,0.219884,0.102508,0.1173768192529678,0.237215,1.34566,0.287945,0.720125,,,4.13316,0.13868,0.241401,999.0,1.29795,-0.761441,0.636598,1.29795,0.761441,4.1512,255.60000000000008,4.564285714285716,247,4.410714285714286,,,,,,,,,,,,,,,,,,,DL Hall,22207,669084,RP,2.6810549,5.355098,0.6157441336692266,-3.1269026536496494,-0.4127252245114802,0.07136574600718455,-0.04746150436811105,0.15491622951229106,-0.4123252894725433,-0.5839678457538062,4.921431591770853,-5.505399437524659,0.0,0.0,False,7,RP,RP 7
Cole Sulser,TBR,2.96508,2.15921,0.0,4.07136,46.0313,0.0,0.159676,6.16017,0.562145,50.2477,211.976,47.1089,24.7073,22.7307,6.53852,16.8716,1.33007,1.77522,45.3135,8.11623,3.02192,2.68579,1.17113,0.213767,0.0795919,0.1341748088598251,0.243672,1.2733,0.286762,0.716317,,,4.13646,0.138382,0.115166,999.0,2.26172,3.16463,0.745402,2.26172,-3.16463,4.00613,218.7,4.374,216,4.32,,,,,,,,,,,,,,,,,,,Cole Sulser,15256,642121,RP,2.96508,6.319846,0.3830691060760686,0.8179769219356835,-0.3710296841914234,0.19611756947709996,-0.210843608225785,0.09637707987946088,0.10786155134229404,-0.2349889932270385,4.921431591770853,-5.156420584997892,0.0,0.0,False,7,RP,RP 7
