Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Brandon Woodruff","MIL",11,7,16,3.31699,26,26,0,0,,153,630,127,62,57,20,40,,6,174,10.1902,2.37294,4.29434,1.19059,0.275778,0.064219,0.21155913919210434,0.217219,1.08938,0.27335,0.759629,,,3.53461,3.05369,3.48932,235.57000732421875,,,,,,,766,5.006535947712418,715,4.673202614379085,,,,,,,,,,,,,,,,,,,"Brandon Woodruff","16162",605540
"Justin Steele","CHC",12,9,17,3.55774,29,29,0,0,,167,690,151,72,66,18,45,,7,162,8.72196,2.44513,3.56707,0.961468,0.234507,0.0657421,0.16876482963562012,0.237548,1.17905,0.291763,0.725888,,,3.55542,3.0018,3.08785,120.72000122070312,,,,,,,789.7999999999998,4.729341317365268,769,4.604790419161676,,,,,,,,,,,,,,,,,,,"Justin Steele","17312",657006
"Kevin Gausman","TOR",12,11,17,4.00601,32,32,0,0,,194,816,184,95,87,25,58,,8,190,8.81493,2.67883,3.29059,1.15732,0.233315,0.0709036,0.16241120547056198,0.244868,1.2423,0.296774,0.711814,,,3.89966,2.98126,2.33207,168.57000732421875,,,,,,,831.7000000000002,4.287113402061856,827,4.262886597938144,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Clay Holmes","NYM",5,3,15,3.20238,50,23,0,1,,165,718,148,64,59,11,65,,8,171,9.32167,3.53276,2.63864,0.611892,0.238325,0.0903214,0.1480039581656456,0.22908,1.28746,0.29503,0.753874,,,3.29668,2.9767,3.21721,294.0199890136719,,,,,,,827.9000000000001,5.0175757575757585,809,4.903030303030303,,,,,,,,,,,,,,,,,,,"Clay Holmes","13649",605280
"Spencer Strider","ATL",10,5,14,2.9594,21,21,0,0,,119,485,91,43,39,13,37,,5,160,12.036,2.78938,4.31493,1.01132,0.328806,0.076202,0.25260402262210846,0.205339,1.07286,0.287127,0.779552,,,3.00799,2.97048,3.34886,117.27999877929688,,,,,,,678.0999999999999,5.698319327731092,620,5.2100840336134455,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Yusei Kikuchi","LAA",12,10,17,3.80924,31,31,0,0,,168,706,148,78,71,23,55,,7,188,10.0942,2.96566,3.4037,1.21579,0.266592,0.0783242,0.18826764076948166,0.230583,1.21357,0.290598,0.733362,,,3.7988,2.94686,2.72286,155.49000549316406,,,,,,,765.5000000000002,4.55654761904762,731,4.351190476190476,,,,,,,,,,,,,,,,,,,"Yusei Kikuchi","20633",579328
"Grayson Rodriguez","BAL",11,8,17,3.39647,28,28,0,0,,154,646,132,64,58,17,51,,7,171,9.99042,2.98499,3.34689,0.992123,0.265262,0.0792565,0.1860058829188347,0.223904,1.18464,0.286853,0.74973,,,3.50492,2.91308,2.99498,104.48999786376953,,,,,,,755.3000000000002,4.904545454545456,717,4.6558441558441555,,,,,,,,,,,,,,,,,,,"Grayson Rodriguez","24492",680570
"Tanner Houck","BOS",8,7,16,3.93392,40,29,0,1,,179,760,177,85,78,17,56,,8,160,8.03073,2.83686,2.83085,0.865809,0.210093,0.0742153,0.13587736338377,0.254547,1.30503,0.30814,0.707156,,,3.70841,2.88899,2.8503,216.8300018310547,,,,,,,787.3000000000002,4.39832402234637,806,4.5027932960893855,,,,,,,,,,,,,,,,,,,"Tanner Houck","19879",656557
"Jack Flaherty","DET",11,9,16,3.67802,29,29,0,0,,165,694,148,74,67,19,54,,7,179,9.74234,2.93386,3.32066,1.0604,0.257286,0.0774803,0.17980539798736572,0.233629,1.22262,0.295278,0.733938,,,3.64159,2.8792,2.72134,139.42999267578125,,,,,,,777.5,4.712121212121212,753,4.5636363636363635,,,,,,,,,,,,,,,,,,,"Jack Flaherty","17479",656427
"Zac Gallen","ARI",12,9,16,3.72119,29,29,0,0,,171,713,158,77,71,19,50,,7,170,8.95893,2.6252,3.41266,0.999838,0.23868,0.0699395,0.16874052584171295,0.241502,1.21829,0.298689,0.721421,,,3.62107,2.86852,3.16031,118.62000274658203,,,,,,,789.9000000000001,4.6192982456140355,777,4.543859649122807,,,,,,,,,,,,,,,,,,,"Zac Gallen","19291",668678
