Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Royce Lewis","MIN",133,574,517,136,80,27,1,27,70,82,48,2,134,4,5,0,,8,2,0.262389,0.0839591,0.233104,0.360179,0.32691,0.475733,0.343655,0.802643,0.213345,3.83959,0.301473,0,-0.334114,82.6111,15.4657,126.201,-0.334114,-0.30569,16.873918384313583,0.14430955052375793,3.73378,132.94000244140625,,,,,,,748,5.62406015,748,5.62406015,,,,,,,,,,,,,,,,,,,"Royce Lewis","20437",668904
"Jarren Duran","BOS",152,658,598,162,94,40,8,20,98,83,50,2,150,6,4,0,,30,6,0.270277,0.0755265,0.227878,0.331435,0.330392,0.461569,0.340183,0.791961,0.191292,7.53357,0.328408,0.384058,2.41183,92.8614,15.8898,117.286,2.79589,0.713251,15.810709953308105,-2.33674955368042,3.65693,21.43000030517578,,,,,,,867,5.703947368,867,5.703947368,,,,,,,,,,,,,,,,,,,"Jarren Duran","24617",680776
"Kyle Schwarber","PHI",152,658,554,133,65,24,1,43,90,109,95,4,191,5,4,0,,3,3,0.24101,0.14386,0.290563,0.495106,0.354722,0.522486,0.373584,0.877208,0.281476,2.61829,0.278823,-0.77369,-1.62631,110.551,33.5792,140.525,-2.4,-0.0165022,29.486515045166016,-16.066501462832093,3.64902,79.36000061035156,,,,,,,967.6,6.365789473,967.6,6.365789473,,,,,,,,,,,,,,,,,,,"Kyle Schwarber","16478",656941
"Jeremy Peña","HOU",157,679,624,166,114,31,3,18,77,72,37,1,126,11,5,2,,20,6,0.266023,0.0540794,0.185941,0.290841,0.316141,0.413182,0.316515,0.729323,0.147159,5.28197,0.304719,1.0036,0.228352,82.8909,3.46279,107.979,1.23196,-2.18475,7.431153059005737,5.09024977684021,3.63086,164.22999572753906,,,,,,,747,4.757961783,747,4.757961783,,,,,,,,,,,,,,,,,,,"Jeremy Pena","21636",665161
"Freddie Freeman","LAD",154,665,578,161,103,34,2,22,85,82,73,3,109,9,5,0,,11,3,0.278881,0.110307,0.163368,0.675207,0.366413,0.458302,0.357551,0.824715,0.179421,4.02664,0.307825,0.155266,-0.427841,103.145,25.355,132.021,-0.272575,-0.170098,25.191148668527603,-12.19509732723236,3.6293,25.299999237060547,,,,,,,898.9,5.837012987,898.9,5.837012987,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
"Gabriel Moreno","ARI",128,507,451,125,88,26,2,10,60,49,47,1,82,5,5,0,,6,2,0.278003,0.09307,0.16198,0.574576,0.349674,0.406534,0.331222,0.756208,0.128531,3.94699,0.318434,-1.11216,-0.704563,67.9483,8.59364,110.967,-1.81672,4.35029,4.837483048439026,13.325287342071533,3.62089,190.6199951171875,,,,,,,591.6,4.621875,591.6,4.621875,,,,,,,,,,,,,,,,,,,"Gabriel Moreno","22664",672515
"Anthony Volpe","NYY",157,679,609,141,89,30,5,18,81,70,56,1,154,8,6,1,,31,6,0.232364,0.0821206,0.227248,0.36137,0.302132,0.384738,0.300301,0.68687,0.152374,6.70832,0.279526,1.76873,2.47275,74.0297,-5.39841,95.0222,4.24148,4.60542,0.37410426139831543,11.88042163848877,3.60329,138.1300048828125,,,,,,,699.4,4.45477707,699.4,4.45477707,,,,,,,,,,,,,,,,,,,"Anthony Volpe","27647",683011
"Brent Rooker","ATH",149,644,568,145,80,26,1,37,83,100,61,3,192,10,4,0,,9,3,0.255019,0.094521,0.298598,0.316549,0.335324,0.501543,0.357194,0.836867,0.246524,4.04706,0.314277,0.0254297,-0.460729,99.7033,24.3694,139.019,-0.435299,-0.0133291,28.316406220197678,-15.413328723050654,3.54977,68.79000091552734,,,,,,,894.6,6.004026845,894.6,6.004026845,,,,,,,,,,,,,,,,,,,"Brent Rooker","19627",667670
"Will Smith","LAD",126,501,435,108,68,20,2,18,62,59,50,2,91,10,5,0,,2,1,0.248377,0.100197,0.18088,0.553943,0.336403,0.427671,0.332638,0.764075,0.179295,3.37594,0.271349,-0.775311,-0.752051,67.6622,9.05623,115.253,-1.52736,1.04967,7.610776662826538,9.899668335914612,3.5315,103.30000305175781,,,,,,,589.4,4.677777777,589.4,4.677777777,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Yainer Diaz","HOU",143,575,541,152,100,28,2,22,67,74,25,2,102,3,6,0,,2,1,0.280725,0.0437402,0.177752,0.246074,0.313211,0.45997,0.330385,0.77318,0.179244,3.12942,0.308187,-1.50317,-0.777464,76.64,9.35426,117.735,-2.28063,0.0922616,9.39171290397644,5.142261780798435,3.48134,58.060001373291016,,,,,,,694.6,4.857342657,694.6,4.857342657,,,,,,,,,,,,,,,,,,,"Yainer Diaz","23003",673237
