Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Logan Allen","CLE",1.81292,2.46705,2.17366,4.8643,6.365,5.725,0,0,,32.4528,140.873,32.8747,18.85,17.54,5.23003,11.9367,0.130127,1.18379,26.4744,7.34203,3.31034,2.21791,1.45042,0.187931,0.0847334,0.10319734364748001,0.257331,1.38082,0.287821,0.6925,,,4.84285,0.233442,0.0913514,749.6199951171875,,,,,,,102.50000000000001,3.2031250000000004,108,3.375,,,,,,,,,,,,,,,,,,,"Logan Allen","27589",671106
"Cristian Mena","ARI",0.50089,0.391737,0,4.22137,11.682,2.024,0,0.6244,,19.316,83.2515,18.032,9.73,9.06,2.27902,7.49267,0.660545,0.862401,20.5872,9.59231,3.4911,2.74765,1.06187,0.24729,0.0900004,0.15728909522294998,0.240759,1.32143,0.302766,0.707201,,,3.86631,0.229614,0.0842059,999,,,,,,,91.2,4.8,91,4.7894736842105265,,,,,,,,,,,,,,,,,,,"Cristian Mena","27974",691441
"Ty Madden","DET",1.36107,1.21095,0.198461,4.3501,28.06,0.671,0,0.5785,,37.4681,160.692,33.7377,19.49,18.11,5.04574,14.7114,0.895657,1.95155,37.9797,9.12288,3.53374,2.58165,1.21201,0.23635,0.09155,0.1448003277182579,0.234242,1.29307,0.284067,0.699747,,,4.22402,0.229351,0.0853898,745.7899780273438,,,,,,,152.9,4.132432432432433,149,4.027027027027027,,,,,,,,,,,,,,,,,,,"Ty Madden","30140",680744
"Gordon Graceffo","STL",1.44503,1.48425,1.1331,4.43347,20.56,1.989,0,0.6474,,35.9921,154.184,35.1248,18.97,17.73,4.48138,11.8095,0.642826,1.54892,28.3667,7.09323,2.95302,2.40203,1.12059,0.183979,0.0765933,0.10738608241081238,0.24942,1.30401,0.283794,0.687753,,,4.32228,0.227803,0.0983328,999,,,,,,,144.20000000000005,4.005555555555556,146,4.055555555555555,,,,,,,,,,,,,,,,,,,"Gordon Graceffo","29519",700669
"Jackson Rutledge","WSN",2.00105,2.35288,0.496206,4.55908,32.688,2.627,0,0.6164,,48.5427,212.32,45.6578,26.38,24.59,5.97037,21.2793,1.16852,3.21407,43.2772,8.02376,3.94527,2.03377,1.10693,0.20383,0.100223,0.10360700637102127,0.243084,1.37893,0.286388,0.692354,,,4.49605,0.226908,0.113882,999,,,,,,,187.20000000000002,3.8204081632653066,185,3.7755102040816326,,,,,,,,,,,,,,,,,,,"Jackson Rutledge","26215",671131
"Scott Effross","NYY",1.19988,0.821344,0,4.20949,30.531,0,0,0.6657,,38.1637,162.273,37.4797,19.18,17.85,4.37652,10.8558,1.07688,2.05372,32.7435,7.72176,2.56007,3.01623,1.0321,0.20178,0.0668983,0.1348821446299553,0.25093,1.26653,0.294923,0.690751,,,3.95614,0.226382,0.0812295,999,,,,,,,166.8,4.389473684210526,169,4.447368421052632,,,,,,,,,,,,,,,,,,,"Scott Effross","18384",664123
"Blas Castano","SEA",1.02165,1.26802,-0.157995,4.07749,20.136,1.828,0,0,,27.6788,117.38,25.4861,13.48,12.54,3.30745,9.11495,0.662888,1.7445,23.9706,7.79426,2.96381,2.62981,1.07544,0.204214,0.0776534,0.12656059861183167,0.23926,1.25009,0.279884,0.704725,,,4.16486,0.225475,0.263422,999,,,,,,,120.30000000000001,4.296428571428572,116,4.142857142857143,,,,,,,,,,,,,,,,,,,"Blas Castano","sa3006617",680604
"Victor Vodnik","COL",1.61909,1.90158,0,4.64061,58.151,0,5,10.9549,,72.6888,321.697,74.4976,40.22,37.48,6.77889,32.522,2.05086,3.55341,63.9311,7.91567,4.02673,1.96578,0.839332,0.198731,0.101095,0.09763585776090622,0.260827,1.4723,0.315101,0.684919,,,4.10871,0.224065,-0.203397,726.8900146484375,,,,,,,347.70000000000005,4.763013698630138,360,4.931506849315069,,,,,,,,,,,,,,,,,,,"Victor Vodnik","24614",680767
"Bryan Hoeing","SDP",2.02578,1.82384,-0.339722,4.33764,50.251,0.857,0,12.5719,,62.4118,266.574,62.0941,32.27,30.08,7.46139,18.916,1.7242,2.94845,49.2722,7.10523,2.72776,2.60479,1.07596,0.184835,0.0709597,0.11387524753808975,0.253746,1.29799,0.290637,0.69072,,,4.19268,0.222002,0.0869199,999,,,,,,,295.49999999999994,4.766129032258063,303,4.887096774193548,,,,,,,,,,,,,,,,,,,"Bryan Hoeing","26304",663773
"Anthony Molina","COL",0.673576,0.770863,0.208047,4.55397,21.144,0.188,0,0.5573,,27.9844,120.705,30.8977,15.21,14.16,2.73333,6.80001,0.721218,1.08754,19.6332,6.3142,2.18693,2.88724,0.879061,0.162655,0.056336,0.10631925240159035,0.273874,1.3471,0.311379,0.663921,,,3.87864,0.221106,-0.0429392,999,,,,,,,109.70000000000002,3.9178571428571436,121,4.321428571428571,,,,,,,,,,,,,,,,,,,"Anthony Molina","26952",683627
