Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Kyle Tucker","CHC",154,665,575,155,92,31,2,30,96,95,82,6,102,2,5,1,,21,3,0.269734,0.123577,0.154114,0.801855,0.36066,0.487803,0.363112,0.848463,0.218069,4.99213,0.279312,0.699163,1.5093,106.122,28.3314,136.611,2.20846,0.224463,31.32226872444153,-8.100536957383156,4.68539,8.130000114440918,,,,,,,959.8,6.232467532,959.8,6.232467532,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Adley Rutschman","BAL",146,586,511,133,87,28,1,18,74,68,66,3,92,4,4,1,,2,0,0.260583,0.112718,0.156915,0.718335,0.346567,0.424046,0.33571,0.770614,0.163463,2.99449,0.284079,0.345958,-0.923775,80.6184,12.0458,122.56,-0.577817,2.20582,14.554205417633057,8.355823278427124,4.59017,66.05999755859375,,,,,,,703.7,4.819863013,703.7,4.819863013,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Bryce Harper","PHI",154,665,568,160,90,39,0,31,98,96,87,11,145,4,5,1,,10,3,0.281829,0.130853,0.217671,0.60115,0.378439,0.513648,0.378555,0.892087,0.231819,3.69097,0.325769,-1.17161,-0.708065,114.388,36.5972,143.871,-1.87968,1.22655,33.00684154033661,-10.848454117774963,4.57557,22.059999465942383,,,,,,,1016.1,6.598051948,1016.1,6.598051948,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Austin Riley","ATL",157,679,607,164,97,33,2,32,94,100,56,1,165,10,6,0,,2,0,0.270709,0.0823407,0.243248,0.338505,0.339016,0.492041,0.356157,0.831057,0.221332,3.11149,0.317701,0.0524522,-1.08347,104.555,25.1271,128.192,-1.03102,-2.69278,21.859479069709778,-0.26778101921081543,4.56519,30.829999923706055,,,,,,,921.1,5.86687898,921.1,5.86687898,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
"Trea Turner","PHI",156,672,620,175,116,33,2,23,97,81,41,1,129,6,4,1,,24,4,0.282201,0.060953,0.19184,0.317729,0.330708,0.454487,0.338917,0.785195,0.172286,5.84487,0.321882,1.06551,1.90012,94.1526,15.5433,117.191,2.96564,-2.16082,16.780270099639893,5.039184808731079,4.56464,26.510000228881836,,,,,,,858.7,5.504487179,858.7,5.504487179,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Ketel Marte","ARI",147,637,558,153,91,32,4,26,92,87,67,5,115,6,5,1,,7,2,0.274066,0.104765,0.180932,0.57903,0.354348,0.485648,0.359365,0.839995,0.211582,4.79665,0.300327,-0.162936,-0.459563,99.7323,25.2172,129.909,-0.622499,-1.11293,22.159922182559967,-0.437929630279541,4.4342,32.130001068115234,,,,,,,885.5,6.023809523,885.5,6.023809523,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Matt Chapman","SFG",157,679,595,143,81,34,2,26,86,83,71,2,176,8,5,0,,10,3,0.240542,0.105114,0.258999,0.405846,0.327816,0.435869,0.331312,0.763685,0.195327,4.39633,0.294661,1.03073,-0.365345,90.9774,11.5493,114.629,0.665386,4.52153,12.543843269348145,6.946528673171997,4.34817,132.02000427246094,,,,,,,807.8,5.145222929,807.8,5.145222929,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Freddie Freeman","LAD",154,665,576,168,106,36,2,24,97,92,74,9,109,9,5,0,,11,2,0.292157,0.11085,0.163473,0.678096,0.378521,0.486136,0.370081,0.864657,0.193979,4.53901,0.322146,0.124244,-0.258044,109.852,32.0615,140.455,-0.1338,-0.0899208,32.03646931052208,-12.114920414984226,4.34455,25.299999237060547,,,,,,,970.5,6.301948051,970.5,6.301948051,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
"Dansby Swanson","CHC",157,679,610,149,98,29,2,21,83,79,60,1,166,4,4,1,,15,4,0.244767,0.0889762,0.244074,0.364546,0.315046,0.40027,0.312451,0.715316,0.155502,4.8628,0.300929,1.18938,0.222361,80.67,1.24187,102.513,1.41174,8.42984,3.4524857997894287,15.704843044281006,4.31378,175.33999633789062,,,,,,,726.6,4.628025477,726.6,4.628025477,,,,,,,,,,,,,,,,,,,"Dansby Swanson","18314",621020
"Marcus Semien","TEX",154,665,597,151,95,29,3,23,94,76,60,1,102,4,3,1,,10,2,0.252259,0.0895686,0.154055,0.581407,0.322374,0.427959,0.325862,0.750333,0.1757,5.0946,0.268286,0.520389,-0.113777,86.1844,8.394,113.026,0.406613,7.10575,10.318110644817352,9.280747652053833,4.3136,101.9800033569336,,,,,,,771.4,5.009090909,771.4,5.009090909,,,,,,,,,,,,,,,,,,,"Marcus Semien","12533",543760
