Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,NameASCII,PlayerId,MLBAMID
"JT Brubaker","NYY",2.74742,3.08363,1.53868,4.27407,28.9065,3.49936,0,1.32355,0,45.1885,193.225,44.2987,23.326,21.4599,6.36033,15.1943,0,2.23303,44.1299,8.78916,3.02618,2.90437,1.26676,0.228387,0.0786354,0.14975117146968842,0.251987,1.31655,0.302763,0.714926,,,4.20007,0.23508,0.209321,747.9299926757812,2.65609,-1.45072,0.598688,2.65609,1.45072,4.20175,185.79999999999998,4.128888888888889,188,4.177777777777778,"JT Brubaker","17578",664141
"Angel Perdomo","ATL",2.03728,1.76616,0,3.61407,43.2483,0,0,9.15049,0,44.8142,190.712,37.7804,19.5606,17.9958,5.47318,19.8998,4.45901,2.62241,55.3817,11.1223,3.99645,2.78303,1.09917,0.290394,0.104345,0.1860497146844864,0.22463,1.2871,0.300995,0.762121,,,3.79027,0.234872,0.393947,999,2.16182,-2.59544,0.819212,2.16182,2.59544,3.90772,249.7,5.5488888888888885,237,5.266666666666667,"Angel Perdomo","17759",622780
"Brent Suter","CIN",2.76206,2.44867,0,4.00195,54.407,0.581412,0.355689,5.77843,0.765227,64.904,277.979,67.7757,31.3699,28.8603,8.80188,18.3514,0,2.98094,51.3697,7.12325,2.54471,2.79923,1.22053,0.184797,0.0660171,0.11878017336130142,0.264082,1.32699,0.30016,0.741923,,,4.33254,0.23466,0.570641,999,2.00702,0.565003,0.539912,2.00702,-0.565003,4.28012,256.5,3.9461538461538463,271,4.1692307692307695,"Brent Suter","13942",608718
"John Brebbia",,2.01915,3.04753,0,4.2205,44.8203,0.889049,0.836765,8.34675,2.20161,44.592,187.573,41.3314,22.7295,20.9112,6.59962,14.7473,0.827791,1.73119,47.6672,9.62066,2.97644,3.23227,1.332,0.254127,0.0786217,0.17550481110811234,0.241571,1.2576,0.297292,0.711992,,,4.06117,0.234646,0.0905542,999,2.73097,-0.472439,0.741217,2.73097,0.472439,4.01171,222.29999999999998,4.9399999999999995,216,4.8,"John Brebbia","12777",605154
"Carmen Mlodzinski","PIT",4.03717,4.40189,0,3.98507,52.3671,0.762919,1.0493,10.5238,1.70064,59.065,254.264,56.2526,28.4273,26.1531,6.20243,23.67,1.3076,2.46229,53.9744,8.22433,3.6067,2.28029,0.945093,0.212277,0.0930921,0.11918503046035767,0.246579,1.35313,0.297998,0.72285,,,4.03128,0.234607,0.426984,999,1.12293,0.997523,0.467037,1.12293,-0.997523,4.37728,296.20000000000005,5.0203389830508485,296,5.016949152542373,"Carmen Mlodzinski","27572",669387
"Tyler Alexander",,3.00045,3.65139,2.66765,4.99967,13.2654,10.0631,0,0.289165,0,61.4092,262.208,65.9668,37.0804,34.114,11.4608,15.0943,0.42872,2.44589,46.1488,6.76348,2.21218,3.05738,1.67967,0.176001,0.0575661,0.1184350773692131,0.269618,1.32002,0.291386,0.676459,,,4.94655,0.234439,0.0619254,999,1.9541,0.603566,0.500188,1.9541,-0.603566,4.33308,185.50000000000009,3.0409836065573783,203,3.3278688524590163,"Tyler Alexander","17735",641302
"Anthony Banda","LAD",3.52238,2.37182,0.471454,3.87849,54.1912,0.644723,0.818214,10.4217,1.47313,57.2485,247.198,54.7657,26.8162,24.6709,6.99223,22.7515,4.64858,3.08752,57.5556,9.04829,3.57675,2.52975,1.09924,0.232832,0.0920377,0.1407947540283203,0.247407,1.35405,0.304657,0.748597,,,4.09759,0.23393,0.326105,999,2.0949,-0.772325,0.523723,2.0949,0.772325,4.3017,275.69999999999993,4.836842105263156,277,4.859649122807017,"Anthony Banda","14706",607455
"Eli Morgan","CHC",3.91312,2.5494,0,4.00967,55.302,0,0.277605,6.8973,1.71751,61.3124,256.983,57.6228,29.6911,27.3158,8.68692,18.9847,1.05169,1.95593,58.168,8.53843,2.78675,3.06394,1.27515,0.22635,0.0738755,0.1524745151400566,0.244121,1.24946,0.289241,0.727997,,,4.13555,0.233811,0.182025,750.8599853515625,1.32856,0.579985,0.50664,1.32856,-0.579985,4.32448,270.9000000000001,4.440983606557379,269,4.409836065573771,"Eli Morgan","20203",669212
"Craig Kimbrel",,3.80589,3.11487,0,3.8932,46.8719,0,2.13584,5.10973,4.74289,50.632,216.752,42.4052,23.8068,21.9023,6.26367,24.2468,1.03166,3.04964,60.4117,10.7384,4.30995,2.49153,1.11339,0.278713,0.111864,0.16684897243976593,0.223826,1.3164,0.294359,0.740205,,,4.00575,0.233689,0.264188,685.6099853515625,1.31095,5.29393,0.533318,1.31095,-5.29393,4.28891,263.40000000000003,5.1647058823529415,246,4.823529411764706,"Craig Kimbrel","6655",518886
"Cole Irvin",,2.85613,3.6021,3.19352,4.75774,14.679,9.40368,0.330386,0.378163,0,63.4381,274.684,69.8407,36.452,33.5358,10.4536,16.2774,0.508561,3.96098,46.7729,6.63571,2.30929,2.87349,1.48306,0.170279,0.0592587,0.11102049797773361,0.274482,1.35751,0.301122,0.694796,,,4.79115,0.23301,0.181016,999,1.25477,2.96646,0.404618,1.25477,-2.96646,4.46051,195.20000000000005,3.098412698412699,219,3.4761904761904763,"Cole Irvin","19244",608344
"Brandon Sproat","NYM",1.33202,1.11057,1.80209,4.24506,4.09602,4.09602,0,0,0,23.6371,100.974,22.812,12.1185,11.149,3.2148,8.31288,0,1.06467,20.7775,7.9112,3.16519,2.49944,1.22406,0.205772,0.0823273,0.12344469875097275,0.249051,1.31678,0.289884,0.713879,,,4.36671,0.232964,0.291326,999,0.728317,1.06394,0.99317,0.728317,-1.06394,3.67577,95.90000000000002,3.995833333333334,96,4,"Brandon Sproat","sa3023499",687075
"Luke Little","CHC",2.62389,1.68328,0,3.24161,33.1072,0.197522,0.040624,3.60628,0,32.9096,142.934,26.4049,12.8841,11.8534,2.5636,17.8521,0.865856,2.90985,40.2801,11.0156,4.88214,2.25632,0.701083,0.281809,0.124898,0.15691136568784714,0.216129,1.3448,0.30054,0.771441,,,3.62387,0.23224,0.434726,999,1.09308,-1.26229,0.920362,1.09308,1.26229,3.77285,172.70000000000005,5.233333333333334,159,4.818181818181818,"Luke Little","28036",681432
"Ryan Zeferjahn","LAA",1.85595,2.6706,0,4.27128,49.2979,0,1.47009,5.35517,0.840118,61.2895,269.542,58.4105,31.6165,29.0871,7.24694,28.0458,3.58724,4.73359,62.4084,9.16431,4.11836,2.22523,1.06417,0.231535,0.10405,0.1274849846959114,0.246705,1.41062,0.306172,0.71864,,,4.27159,0.231484,0.00024098,722.3200073242188,2.98718,2.11366,0.544758,2.98718,-2.11366,4.27366,264.50000000000006,4.336065573770493,264,4.327868852459017,"Ryan Zeferjahn","25420",666171
"Carson Whisenhunt","SFG",1.25416,1.38651,1.21591,3.7573,15.008,2.28289,0,0.70812,0,24.9273,106.398,22.7877,11.3115,10.4066,2.79182,10.0605,0,1.01185,25.421,9.17825,3.63233,2.52682,1.00799,0.238923,0.0945547,0.14436811953783035,0.239049,1.31776,0.297941,0.744192,,,3.9154,0.229497,0.318063,999,4.07436,-1.77069,1.03259,4.07436,1.77069,3.62321,109.3,4.372,107,4.28,"Carson Whisenhunt","sa3020529",687931
"Andrew Chafin",,2.64758,2.61416,0,3.82348,49.91,0,2.0974,9.4933,2.65513,48.9552,210.169,43.4341,22.6062,20.7977,5.33469,22.6159,1.95108,1.65914,54.7116,10.0583,4.15774,2.41917,0.980737,0.260322,0.107608,0.1527140662074089,0.23365,1.34919,0.302743,0.741597,,,3.83552,0.229289,0.259902,999,0.654006,-0.866373,0.678958,0.654006,0.866373,4.09472,270.3,5.516326530612245,261,5.326530612244898,"Andrew Chafin","12988",605177
"Randy Rodríguez","SFG",2.83913,2.43084,0,4.2057,41.4842,0.299605,0.0366853,5.66974,1.42816,49.2058,212.833,45.5393,24.9933,22.9939,5.33228,21.462,0,2.64308,49.2394,9.00615,3.92551,2.29426,0.975302,0.231352,0.10084,0.13051244616508484,0.241296,1.36166,0.299703,0.705588,,,4.04353,0.224871,0.0532001,999,1.34644,-0.524041,0.514567,1.34644,0.524041,4.31391,231.50000000000003,4.724489795918368,230,4.6938775510204085,"Randy Rodriguez","23974",678495
"Jordan Wicks","CHC",3.3087,3.13931,3.01725,4.3083,23.0357,7.73493,0,0.569917,0,54.2461,233.339,53.859,28.2256,25.9676,8.11534,19.6068,0,2.0174,48.4978,8.0463,3.25298,2.47352,1.34642,0.207842,0.0840271,0.12381544709205627,0.254393,1.3543,0.294926,0.728454,,,4.51914,0.221354,0.405425,700.4299926757812,3.83518,-0.612288,0.426927,3.83518,0.612288,4.43076,194.80000000000004,3.607407407407408,200,3.7037037037037037,"Jordan Wicks","30094",696136
"Omar Cruz","SDP",3.90475,4.59886,4.38145,4.56644,26.762,11.0022,0,1.2731,0,75.766,331.622,73.1734,41.7852,38.4424,10.8495,33.4308,0,4.53832,66.6736,7.91994,3.97114,1.99438,1.28878,0.201053,0.10081,0.10024307668209076,0.249184,1.40702,0.288364,0.709064,,,4.77147,0.219809,0.343672,999,1.31744,-0.646368,0.334829,1.31744,0.646368,4.55356,261.29999999999995,3.4381578947368414,261,3.4342105263157894,"Omar Cruz","sa3006971",678316
"Drew Smyly",,3.22417,3.93363,0.360836,4.09461,42.4986,1.22709,0,2.3612,1.07142,50.3063,212.926,47.798,24.8774,22.8872,7.46557,16.6588,1.44389,2.07815,49.2434,8.80985,2.98033,2.956,1.33562,0.23127,0.0782375,0.15303227305412292,0.246141,1.28129,0.293369,0.732885,,,4.25534,0.2155,0.161228,999,2.24832,-1.07626,0.585505,2.24832,1.07626,4.21933,208.09999999999997,4.161999999999999,208,4.16,"Drew Smyly","11760",592767
