Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",13.2271,8.6042,21.1106,2.79856,30.78,30.78,0,0,,188.104,759.404,147.013,64.6768,58.4913,15.7381,55.0105,0.4367,7.5265,242.234,11.5899,2.63202,4.40341,0.753,0.318979,0.072439,0.24654003977775574,0.210963,1.074,0.299104,0.763079,0.470317,,2.676,5.7769,5.77048,11.180000305175781,,,,,,,1107.2,5.88936170212766,1027,5.462765957446808,"Paul Skenes","33677",694973
"Jacob deGrom","TEX",11.2395,6.7576,16.5741,2.85637,25.92,25.92,0,0,,152.018,602.049,115.569,52.3465,48.2465,17.1949,30.0537,0.3016,4.9254,206.102,12.202,1.77929,6.85779,1.018,0.342334,0.049919,0.29241524636745453,0.2038,0.957933,0.28616,0.76739,0.383507,,2.61567,5.13072,4.35747,37,,,,,,,921.1,6.059868421052632,846,5.565789473684211,"Jacob deGrom","10954",594798
"Tarik Skubal","DET",13.346,9.4127,21.6855,2.90406,32,32,0,0,,196.234,787.14,159.821,69.5652,63.3195,19.7978,45.0598,0.3015,7.9887,229.072,10.5061,2.06661,5.08373,0.908,0.291018,0.057245,0.23377301916480064,0.217712,1.04406,0.288575,0.763788,0.435915,,2.95435,5.03902,5.11416,13.359999656677246,,,,,,,1087.4,5.54795918367347,1019,5.198979591836735,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",12.3951,8.4066,17.3645,3.04222,30.78,30.78,0,0,,170.138,684.385,133.143,62.7252,57.5109,16.6546,51.7423,0.3928,6.5427,220.529,11.6656,2.73707,4.26206,0.881,0.322229,0.0756041,0.24662506580352783,0.212655,1.08668,0.299521,0.756088,0.439859,,2.87441,4.79618,4.879,23.290000915527344,,,,,,,968.1000000000001,5.694705882352942,894,5.258823529411765,"Garrett Crochet","27463",676979
"Zack Wheeler","PHI",13.494,9.3933,20.5933,3.31991,32,32,0,0,,198.518,809.947,171.142,79.7965,73.2291,22.7193,50.9465,0.818,8.6624,212.381,9.6285,2.30971,4.16871,1.03,0.262216,0.062901,0.19931500405073166,0.228086,1.11873,0.288066,0.747797,0.426213,,3.4154,4.63811,4.75355,20.639999389648438,,,,,,,989.1000000000003,4.970351758793971,940,4.723618090452261,"Zack Wheeler","10310",554430
"Chris Sale","ATL",13.8528,7.8654,19.9794,3.06865,30.78,30.78,0,0,,186.772,754.33,152.252,69.4493,63.682,19.6318,46.9774,0.522,8.9705,230.404,11.1025,2.2637,4.90457,0.946,0.305442,0.062277,0.24316492676734924,0.218007,1.0667,0.295799,0.755657,0.425511,,2.96436,4.48064,5.05359,35.11000061035156,,,,,,,1034.6,5.532620320855615,967,5.171122994652406,"Chris Sale","10603",519242
"Tyler Glasnow","LAD",10.6129,6.3254,14.7658,3.2167,24.3,24.3,0,0,,143.689,579.857,116.882,55.9627,51.3559,16.0612,40.6677,0.243,3.5603,178.003,11.1493,2.54724,4.37701,1.006,0.306977,0.070134,0.2368430718779564,0.218214,1.09646,0.295173,0.752139,0.449349,,3.06539,3.69522,3.4521,106.5,,,,,,,785.6000000000001,5.455555555555557,733,5.090277777777778,"Tyler Glasnow","14374",607192
"Sonny Gray","STL",12.1014,9.5906,18.5145,3.40496,30.78,30.78,0,0,,184.766,764.441,164.301,76.4079,69.9021,19.6262,51.3131,0.4319,6.8288,197.279,9.60956,2.49948,3.84462,0.956,0.25807,0.067125,0.19094517081975937,0.232623,1.16696,0.295621,0.739918,0.447268,,3.35595,3.69103,3.95154,105.06999969482422,,,,,,,916.6,4.954594594594595,885,4.783783783783784,"Sonny Gray","12768",543243
"Corbin Burnes","ARI",12.2913,9.6945,18.3094,3.70966,30.78,30.78,0,0,,189.849,794.014,179.263,85.1929,78.2527,19.9341,53.4625,0.2501,7.1588,192.523,9.12678,2.53445,3.60108,0.945,0.242468,0.0673319,0.17513595521450043,0.244429,1.22585,0.305851,0.720311,0.459102,,3.46125,3.64553,3.57883,40.5,,,,,,,900.6,4.74,896,4.71578947368421,"Corbin Burnes","19361",669203
"Pablo López","MIN",12.1672,10.4675,18.7384,3.59689,32,32,0,0,,193.107,797.961,176.628,83.715,77.1759,23.323,48.0261,0.8642,8.6092,202.708,9.4475,2.23832,4.2208,1.087,0.254033,0.060186,0.19384706392884254,0.23826,1.16337,0.29751,0.734051,0.431035,,3.517,3.63058,3.46798,64.54000091552734,,,,,,,920.1000000000001,4.767357512953368,901,4.668393782383419,"Pablo Lopez","17085",641154
