Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,NameASCII,PlayerId,MLBAMID
"Joey Bart","PIT",99.3295,372.189,332.79,79.6601,52.3746,14.4864,0.853954,11.9452,42.1596,46.9831,29.5579,0,103.56,6.906,2.53398,0.401578,7.23836,0.725461,0.211045,0.239371,0.0794164,0.278246,0.285418,0.31234,0.395715,0.310756,0.708055,0.156344,2.89802,0.308049,-0.14728,-0.641534,43.7108,0.17279,96.2398,-0.788814,-2.65002,-2.462355852127075,3.808107376098633,1.41904,269.6099853515625,2.94192,0.779205,0.482567,,,,387,3.909090909,387,3.909090909,"Joey Bart","21524",663698
"Adolis García","TEX",143.594,605.845,547.223,128.709,77.6347,25.377,1.00918,24.6879,75.6704,85.7942,47.3896,1.17277,167.273,6.26341,4.5492,0.42018,10.8823,10.9822,3.09158,0.235203,0.0782206,0.276099,0.283306,0.301213,0.42061,0.312536,0.721823,0.185407,4.49139,0.289099,0.0455785,-0.0825924,72.02,1.1494,103.652,-0.0370139,-1.31359,2.4949000515043736,-8.968726754188538,1.41721,152.82000732421875,2.03309,0.89081,0.961812,,,,660.1,4.584027777,660.1,4.584027777,"Adolis Garcia","19287",666969
"Ryan Mountcastle","BAL",124.995,514.273,472.805,123.19,79.8248,23.0048,1.89416,18.4664,59.1854,67.1931,34.024,0.65781,120.833,2.8508,4.15891,0.435098,13.0075,2.90429,0.846035,0.260552,0.0661593,0.234958,0.281579,0.311508,0.434392,0.321812,0.7459,0.17384,3.4154,0.310141,-0.296514,-0.677642,64.974,4.81529,112.784,-0.974155,0.796251,6.54866236448288,-9.980107307434082,1.41616,243.2100067138672,1.98027,-3.20758,0.496752,,,,577,4.616,577,4.616,"Ryan Mountcastle","18373",663624
"Jake Rogers","DET",94.4196,336.339,305.73,64.8575,38.1437,13.2086,0.91523,12.59,38.2072,38.5245,24.3292,0.723845,100.163,3.23786,2.42795,0.614039,5.70229,1.24127,0.472136,0.21214,0.0723353,0.297805,0.242895,0.275299,0.384871,0.286745,0.66017,0.172731,3.39923,0.267484,0.259961,-0.455867,33.0006,-6.34365,86.684,-0.195906,0.492956,-5.32048112154007,7.778421223163605,1.4118,488.9599914550781,2.0113,1.07842,0.549313,,,,306.5,3.260638297,306.5,3.260638297,"Jake Rogers","19452",668670
"Lourdes Gurriel Jr.","ARI",134.417,566.515,523.334,142.84,94.5227,28.7261,2.13317,17.4581,68.0783,74.543,32.7105,1.05708,102.315,6.21934,3.84161,0.409708,16.6325,5.88858,1.65067,0.272942,0.0577399,0.180604,0.319705,0.321088,0.436063,0.327128,0.757151,0.163121,4.07757,0.307759,-0.741397,-0.535739,73.9981,7.72823,108.212,-1.27714,-0.769318,4.285704493522644,-9.502001702785492,1.40966,225.4600067138672,1.47887,1.30591,0.649814,,,,655.9,4.894776119,655.9,4.894776119,"Lourdes Gurriel Jr.","19238",666971
"Ramón Urías","BAL",86.7674,313.99,282.533,71.9264,48.2437,12.9009,1.38022,9.40159,37.724,37.3406,23.9366,0.0491568,67.1579,4.77819,2.0454,0.696832,3.33991,1.85757,0.719646,0.254577,0.0762335,0.213885,0.356423,0.321236,0.409837,0.319518,0.731073,0.15526,3.8434,0.300572,0.197231,-0.526949,39.0902,2.36019,111.171,-0.329718,-1.10001,3.683556377887726,-0.5571682453155518,1.4039,679.8599853515625,4.59043,0.464547,0.888728,,,,336.2,3.864367816,336.2,3.864367816,"Ramon Urias","18795",602104
"Carlos Santana","CLE",133.715,550.135,482.741,112.908,70.1619,22.2908,0.750405,19.705,62.2957,68.4157,60.0346,1.77712,96.0489,3.68066,3.28685,0.392552,10.0452,3.13922,0.673904,0.23389,0.109127,0.174591,0.625042,0.321283,0.405631,0.317909,0.726914,0.171741,2.85167,0.251714,-0.74581,-0.687681,67.7766,3.42286,108.658,-1.43349,1.73282,4.016432285308838,-8.875992178916931,1.39213,338.6099853515625,2.71053,-1.54927,0.559675,,,,602.2,4.49402985,602.2,4.49402985,"Carlos Santana","2396",467793
"Brooks Lee","MIN",106.493,412.322,377.246,93.4672,62.0359,21.0774,1.65495,8.69904,43.929,48.6654,29.2796,2.22864,65.9486,1.65053,3.27417,0.872445,13.6523,5.05131,1.05178,0.247762,0.0710113,0.159944,0.443975,0.302339,0.381586,0.296733,0.683925,0.133824,4.23773,0.277136,-0.329892,-0.131853,43.7703,-4.46232,93.1945,-0.461745,0.651026,-3.6724736094474792,3.1161513328552246,1.36209,382.8900146484375,6.45188,-1.61642,0.593815,,,,400.4,3.77735849,400.4,3.77735849,"Brooks Lee","31595",686797
"LaMonte Wade Jr.","SFG",110.988,435.291,365.669,90.5204,61.3589,15.8469,1.04717,12.2674,53.1887,44.6299,60.4227,3.7663,91.9837,4.77017,2.95695,1.47187,2.24946,2.33825,0.698138,0.247547,0.13881,0.211315,0.656885,0.358936,0.397254,0.333139,0.75619,0.149707,3.31501,0.295992,-0.325402,-0.784175,58.9634,8.04388,115.85,-1.10958,0.144973,6.962813854217529,-8.524347797036171,1.33658,460.75,1.24448,-0.200306,0.447993,,,,504.5,4.545045045,504.5,4.545045045,"LaMonte Wade Jr.","18126",664774
"Ernie Clement","TOR",97.5585,349.43,328.527,87.5383,61.1464,16.7588,1.77942,7.85378,37.8193,38.6945,14.4667,0.256445,33.659,2.38505,2.81662,1.23388,5.87678,7.51488,2.0149,0.266457,0.0414008,0.0963255,0.429801,0.299803,0.400019,0.302849,0.699822,0.133563,5.03563,0.274934,-0.4383,0.0733595,38.8141,-2.06152,98.1688,-0.36494,0.629612,-1.0970726311206818,2.319495737552643,1.32927,376,2.52037,0.0476657,1.11997,,,,357.3,3.645918367,357.3,3.645918367,"Ernie Clement","20352",676391
"Jordan Walker","STL",132.432,520.646,472.772,120.332,76.9013,25.5784,2.04104,15.8116,56.9116,59.5745,37.4798,0,121.376,5.75083,3.79408,0.849095,11.0047,6.15213,2.09562,0.254525,0.0719871,0.233127,0.30879,0.314667,0.417595,0.318421,0.732262,0.16307,4.19963,0.307977,0.233776,-0.566448,64.3579,3.45375,105.726,-0.332672,-1.57726,3.1551891565322876,-7.708351731300354,1.32132,289.2900085449219,1.90607,-0.652932,0.299911,,,,571,4.325757575,571,4.325757575,"Jordan Walker","27475",691023
"Orlando Arcia","ATL",127.387,496.369,451.237,104.838,68.5301,20.6074,0.663174,15.0375,52.933,51.3578,37.2689,0.570422,101.707,3.01725,3.78575,1.05997,13.399,1.13289,0.457137,0.232335,0.0750831,0.204901,0.366435,0.292998,0.380919,0.294324,0.673916,0.148583,2.37542,0.265464,-0.21065,-0.812887,51.7298,-6.33441,86.5735,-1.02354,-0.667177,-8.992962718009949,5.230355203151703,1.31854,432.57000732421875,2.74265,-0.970285,0.25237,,,,466.5,3.673228346,466.5,3.673228346,"Orlando Arcia","13185",606115
"Christopher Morel","TBR",130.223,526.794,467.682,105.022,61.1828,18.9339,2.99546,21.9094,60.2982,63.2007,48.705,1.62803,146.487,6.27129,3.23767,0.898104,10.8296,8.30335,3.52564,0.224558,0.0924554,0.278072,0.332487,0.304238,0.418392,0.313435,0.722631,0.193835,4.65932,0.27473,0.850114,-0.671166,63.004,1.38055,102.296,0.178949,1.03881,1.5940066426992416,-6.510794401168823,1.30492,278.0400085449219,2.37199,0.278121,0.740843,,,,568,4.369230769,568,4.369230769,"Christopher Morel","21897",666624
"Michael Conforto","LAD",119.657,476.11,419.877,100.707,60.6506,19.0861,1.95197,19.0186,58.3728,62.5355,46.7306,1.82782,113.605,5.96462,3.05773,0.480143,14.3843,1.80757,0.764582,0.239849,0.0981507,0.238611,0.411343,0.322525,0.43049,0.326597,0.753015,0.190641,3.41981,0.281383,-0.122238,-0.828294,61.9859,6.29144,111.35,-0.950532,-3.00812,5.372097492218018,-8.650390386581421,1.29974,285.42999267578125,6.34984,0.522831,0.388463,,,,550.7,4.589166666,550.7,4.589166666,"Michael Conforto","16376",624424
"Jace Jung","DET",101.247,350.558,305.01,69.3117,44.9439,14.9656,1.04476,8.3574,37.561,35.9753,40.7584,0.142162,94.1322,2.46704,1.75419,0.569004,11.7576,1.68743,0.978435,0.227244,0.116267,0.268521,0.432991,0.321544,0.365362,0.305728,0.686906,0.138118,3.09554,0.298394,0.0592902,-0.753533,39.7518,-1.2558,100.037,-0.694243,-0.0155929,-0.679433393292129,1.5468550818040967,1.29649,490.5400085449219,4.02614,0.929131,0.596209,,,,335.8,3.324752475,335.8,3.324752475,"Jace Jung","31437",690291
"Gio Urshela","ATH",118.564,452.003,419.729,110.722,80.5853,19.7078,1.07953,9.34929,43.7209,49.0428,25.3753,0.865317,74.7751,2.03923,4.06568,0.793844,15.0012,1.30858,0.683886,0.263794,0.0561397,0.165431,0.339355,0.306147,0.382715,0.2998,0.688862,0.118921,2.51536,0.298444,-0.750914,-0.860813,49.0987,-3.77578,98.6465,-1.61173,-1.49365,-2.3117151260375977,-0.4158790111541748,1.27446,480.6400146484375,2.68589,-0.216244,0.840158,,,,430,3.613445378,430,3.613445378,"Gio Urshela","10681",570482
"Travis d'Arnaud","LAA",74.51,278.918,253.919,59.7082,36.0796,12.2131,0.170918,11.2446,31.9008,35.9997,18.3487,0,68.9318,4.19942,2.01751,0.433211,6.61204,0.779142,0.172699,0.235146,0.0657851,0.24714,0.266186,0.295371,0.417443,0.309245,0.712814,0.182297,2.36375,0.275737,-0.643134,-0.37683,32.4177,-0.209581,99.5483,-1.01996,-0.959632,-1.1641178876161575,4.13253915309906,1.26684,402.5,3.7344,0.564774,0.838509,,,,288.1,3.841333333,288.1,3.841333333,"Travis d'Arnaud","7739",518595
"Jose Miranda","MIN",127.828,499.114,460.877,122.961,81.0797,25.7405,2.67746,13.4636,54.3439,58.0226,27.9664,0.654864,82.1814,6.56145,3.25548,0.452938,18.7673,2.78646,1.08545,0.266798,0.056032,0.164655,0.3403,0.315824,0.421907,0.31963,0.737731,0.155109,3.63079,0.297154,-0.599131,-0.789577,62.1819,3.79655,109.301,-1.38871,1.40643,3.9228856563568115,-8.356950759887695,1.26042,349.1099853515625,2.46038,-1.2744,0.671258,,,,550.4,4.3,550.4,4.3,"Jose Miranda","20538",669304
"Josh Lowe","TBR",122.905,485.679,441.582,109.782,69.1731,24.226,2.15075,14.232,57.3029,58.2527,39.0923,3.18866,144.702,1.62672,2.78411,0.594238,3.51861,25.2845,3.86492,0.24861,0.08049,0.297937,0.270157,0.310257,0.409902,0.31103,0.720159,0.161292,6.20742,0.334755,-0.990619,2.64944,57.1465,0.332668,100.641,1.65882,-0.600724,2.0233029425144196,-6.183905303478241,1.24154,164.36000061035156,2.68417,0.937,0.971987,,,,545.9,4.438211382,545.9,4.438211382,"Josh Lowe","19953",666139
"Jonathan Aranda","TBR",107.554,398.933,349.2,88.3245,56.3335,16.5116,0.950265,14.5291,50.8042,46.5896,40.402,1.51118,102.436,5.83756,2.9898,0.503616,5.03862,0.608972,0.350078,0.252934,0.101275,0.256776,0.394412,0.337737,0.430482,0.33427,0.768218,0.177547,2.78512,0.313724,0.305747,-0.817612,54.4016,7.73523,116.628,-0.511865,0.820559,7.249493956565857,-8.818958044052124,1.21065,329.17999267578125,5.87992,0.486553,0.552649,,,,479.7,4.441666666,479.7,4.441666666,"Jonathan Aranda","21837",666018
"Victor Caratini","HOU",64.9509,232.336,207.079,51.5219,36.2134,7.75117,1.02943,6.52788,25.9816,25.9393,19.6984,0.363797,47.0195,3.40047,1.63099,0.527321,6.59552,0.578723,0.304867,0.248803,0.0847838,0.202377,0.41894,0.321906,0.390747,0.313001,0.712652,0.141944,3.12455,0.289979,-0.687446,-0.472975,27.7059,0.527612,105.507,-1.16042,-0.681661,0.3035205602645874,3.64087837934494,1.20726,514.3599853515625,2.8429,0.806246,1.20167,,,,249.8,3.843076923,249.8,3.843076923,"Victor Caratini","14968",605170
"Kyle Isbel","KCR",127.177,451.334,410.052,97.7279,64.1169,19.6072,5.0312,8.97247,56.7966,46.1635,29.6472,0,94.5512,4.7274,3.03082,3.87625,5.72554,12.2555,2.86601,0.23833,0.065688,0.209493,0.313557,0.295229,0.37633,0.293555,0.671559,0.138,6.89285,0.286716,0.995442,0.513017,46.7574,-6.03875,88.6204,1.50846,-0.819648,-4.500720858573914,1.1429526805877686,1.20627,533.6799926757812,3.35473,-0.335646,0.631958,,,,429.3,3.38031496,429.3,3.38031496,"Kyle Isbel","21614",664728
"Josh Smith","TEX",97.1459,369.993,323.726,78.2573,52.7116,16.5918,0.97353,7.98045,43.4224,37.0801,32.5859,0.23665,77.4292,9.45461,2.7076,1.51811,3.67384,6.20758,1.66702,0.241739,0.0880718,0.209272,0.420848,0.326475,0.372962,0.310388,0.699437,0.131222,4.66828,0.291576,-0.60748,-0.179593,43.3431,0.0621141,102.141,-0.787073,-1.48108,0.11934834718704224,-0.8468172550201416,1.19869,410.1400146484375,4.02914,2.54961,0.73506,,,,374.8,3.863917525,374.8,3.863917525,"Josh Smith","26396",669701
"Alec Burleson","STL",118.787,482.759,443.58,120.165,81.624,20.9629,0.951085,16.6273,59.7887,60.6905,31.1707,0,66.1454,3.87203,3.18322,0.95389,9.93684,6.74769,1.99732,0.270899,0.0645677,0.137015,0.471245,0.322138,0.434899,0.328196,0.757037,0.164,4.05809,0.284453,-0.804274,-0.380173,63.4727,7.00045,112.45,-1.18445,-0.74229,5.847628474235535,-10.386129677295685,1.19247,236.2100067138672,3.12006,-0.528958,0.592981,,,,567.1,4.765546218,567.1,4.765546218,"Alec Burleson","27615",676475
