Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Akil Baddoo","DET",10.652,31.176,27.7966,5.77346,3.61624,1.16659,0.2881,0.702528,3.68505,2.57014,2.96719,0.0952536,8.58928,0.161374,0.17061,0.0802532,0.336791,1.26302,0.332823,0.207704,0.0951755,0.275509,0.345453,0.286278,0.346224,0.278874,0.632502,0.13852,6.82287,0.27153,,0.0653281,2.86139,-0.785521,81.147,0.0653281,0,-0.6071947887539864,-0.34365078806877136,0.0091321,999,,,,,,,28.8,2.618181818,28.8,2.618181818,,,,,,,,,,,,,,,,,,,"Akil Baddoo","22168",668731
"Enmanuel Valdez","PIT",35.597,121.639,110.262,23.9758,14.875,5.54912,0.212751,3.33892,12.0318,13.6359,9.30906,0.213311,29.2644,0.94489,0.878494,0.244389,1.76619,1.30651,0.413785,0.217443,0.0765302,0.240584,0.318102,0.281971,0.362474,0.282279,0.644445,0.145031,3.69128,0.262765,,-0.102928,11.4976,-2.7315,77.0728,-0.102928,0.02,-3.4378487169742584,-0.5293364338576794,0.00862526,749.22998046875,,,,,,,101.9,2.830555555,101.9,2.830555555,,,,,,,,,,,,,,,,,,,"Enmanuel Valdez","21716",665839
"Andre Lipcius","CHW",3.73,9.437,8.61944,1.9023,1.29036,0.383272,0.0166389,0.212026,0.870357,0.929446,0.692428,0.0116487,2.27985,0.0493629,0.0671503,0.00861512,0.152703,0.0667508,0.0196214,0.220698,0.0733737,0.241586,0.303717,0.280439,0.342821,0.27443,0.623259,0.122122,3.24682,0.272857,,-0.0105433,0.832394,-0.271528,76.3194,-0.0105433,0,-0.2662442633882165,0.03467445820569992,0.00857386,999,,,,,,,5.2,1.3,5.2,1.3,,,,,,,,,,,,,,,,,,,"Andre Lipcius","25822",686531
"Danny Mendick","CHW",24.692,70.431,65.079,14.3312,10.2347,2.64563,0.128926,1.3219,6.64031,6.20146,4.03405,0.00176359,15.6779,0.655666,0.423669,0.238612,1.28591,1.31675,0.377286,0.220212,0.0572767,0.222599,0.257308,0.270983,0.325764,0.263685,0.596746,0.105551,4.37284,0.268217,,-0.00723037,5.60327,-2.63561,68.7609,-0.00723037,0,-2.5247233803384006,0.25878527760505676,0.00846012,999,,,,,,,48.4,1.936,48.4,1.936,,,,,,,,,,,,,,,,,,,"Danny Mendick","18889",664901
"Brandon Drury","CHW",68.93,275.992,252.565,56.365,36.7242,11.2051,0.557566,7.87813,27.0873,29.8554,18.1253,0.0437999,63.9004,3.13987,1.91247,0.249328,5.55698,0.930352,0.289484,0.22317,0.0656732,0.23153,0.283649,0.281531,0.365528,0.283613,0.64706,0.142358,2.81179,0.265392,,-0.388503,26.3837,-5.90128,82.7785,-0.388503,-0.05,-5.8269206285476685,-3.2987030036747456,0.00771636,689.9099731445312,,,,,,,238.3,3.453623188,238.3,3.453623188,,,,,,,,,,,,,,,,,,,"Brandon Drury","11615",592273
"Armando Alvarez","MIN",3.454,8.561,7.91987,1.77331,1.1751,0.399751,0.0142264,0.184226,0.833397,0.858944,0.529423,0.0097128,1.86461,0.0411437,0.0593326,0.0112353,0.141809,0.0872175,0.0307101,0.223906,0.0618413,0.217802,0.283933,0.274145,0.347757,0.272312,0.621901,0.123851,3.7144,0.267956,,-0.00869518,0.740528,-0.260922,76.0162,-0.00869518,0,-0.2436302099376917,0.031455762684345245,0.00756106,999,,,,,,,6.2,2.066666666,6.2,2.066666666,,,,,,,,,,,,,,,,,,,"Armando Alvarez","19292",669137
"Dom Nuñez","CLE",1.774,6.189,5.49792,0.975509,0.60746,0.217637,0.014992,0.135419,0.531676,0.555698,0.571135,0.00915403,1.94808,0.0518895,0.0355609,0.0324933,0.0819957,0.020566,0.00684607,0.177432,0.0922823,0.314766,0.293178,0.259649,0.296364,0.249646,0.556014,0.118932,3.01005,0.243506,,-0.00829876,0.422443,-0.301534,60.6399,-0.00829876,0,-0.2870281646028161,0.1368827223777771,0.00580092,999,,,,,,,3.6,1.8,3.6,1.8,,,,,,,,,,,,,,,,,,,"Dom Nunez","15055",624513
"Brian Serven","DET",10.774,27.796,25.248,4.76693,3.20185,0.972212,0.0491817,0.543679,2.26306,2.41042,1.87762,0.000567316,8.10647,0.366624,0.172974,0.130791,0.448801,0.0402573,0.013579,0.188804,0.0675499,0.291642,0.23162,0.253429,0.295807,0.245541,0.549236,0.107003,2.37418,0.251821,,-0.0404265,1.80544,-1.44608,57.6998,-0.0404265,0,-1.3857615403831005,0.5106554627418518,0.00531758,999,,,,,,,21.3,1.936363636,21.3,1.936363636,,,,,,,,,,,,,,,,,,,"Brian Serven","19422",661531
"Oscar Gonzalez","SDP",11.008,43.24,40.8632,9.98907,6.8153,2.00411,0.143423,1.02624,4.42306,4.72381,1.71339,0.0793489,10.0245,0.318651,0.306894,0.0378271,0.860474,0.277363,0.0874657,0.244451,0.0396251,0.231834,0.17092,0.278252,0.375857,0.283148,0.654109,0.131406,3.69108,0.297577,,-0.0491522,4.11739,-0.940738,83.9214,-0.0491522,0,-0.8805236853659153,-0.5096296668052673,0.00514137,999,,,,,,,36.2,3.29090909,36.2,3.29090909,,,,,,,,,,,,,,,,,,,"Oscar Gonzalez","20970",660757
"Keston Hiura","COL",9.377,32.924,29.7085,7.28131,4.51241,1.36146,0.0890657,1.31838,3.89499,4.21032,2.25876,0.0881698,10.3037,0.703807,0.216542,0.0363973,0.549455,0.322239,0.100569,0.245092,0.0686054,0.312954,0.219219,0.311482,0.430047,0.321133,0.741528,0.184955,3.99291,0.32579,,-0.034583,4.14166,0.290274,92.7061,-0.034583,-0.01,-0.3217485286295414,-0.7335339281708002,0.00424674,747.1099853515625,,,,,,,30.5,3.388888888,30.5,3.388888888,,,,,,,,,,,,,,,,,,,"Keston Hiura","20003",669374
