Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId,weighted_zscore,auction_value
Justin Martinez,ARI,3.9432,2.9146,0.0,3.13553,70.0,0.0,25.418,5.4392,70.0,294.489,55.4301,26.9685,24.3875,4.82222,35.4397,,3.2217,87.3313,11.2283,4.55653,2.46422,0.62,0.296552,0.120343,0.1762089431285858,0.21667,1.29814,0.309199,0.759656,0.512205,,3.22377,0.718029,1.05197,210.5399932861328,,,,24453,1.7026725925594441,-4.6727823512812824e+16
Cole Ragans,KCR,11.9902,9.5796,17.802,3.51302,30.78,30.78,0.0,0.0,182.633,763.834,156.313,77.3705,71.288,19.4199,68.9971,,6.488,206.951,10.1984,3.40013,2.99941,0.957,0.270937,0.09033,0.1806069388985633,0.227084,1.23368,0.296319,0.746709,0.406675,,3.52246,3.6229,4.0963,47.959999084472656,,,,21846,1.6963847232722549,-4.655526042134863e+16
Pablo López,MIN,12.175,10.4587,18.7539,3.59251,32.0,32.0,0.0,0.0,193.107,797.632,176.522,83.621,77.082,23.2586,47.9951,,8.6049,202.564,9.44078,2.23688,4.22052,1.084,0.253957,0.060172,0.1937849633395671,0.238211,1.16266,0.297477,0.734005,0.431035,,3.51361,3.6385,3.46799,63.040000915527344,,,,17085,1.6784052703887666,-4.6061835728387736e+16
Corbin Burnes,ARI,12.272,9.7142,18.3104,3.70939,30.78,30.78,0.0,0.0,189.849,794.014,179.268,85.1872,78.247,19.9341,53.4554,,7.1588,192.493,9.12538,2.53412,3.60101,0.945,0.242431,0.067323,0.1751078739762306,0.244434,1.22583,0.305839,0.720336,0.459102,,3.46145,3.64506,3.57883,41.25,,,,19361,1.6524710242753455,-4.5350101199611336e+16
Kevin Gausman,TOR,11.5837,11.0894,17.7751,3.8766,32.0,32.0,0.0,0.0,193.238,811.923,181.83,89.7767,83.2339,25.1424,54.3315,,4.973,193.426,9.00877,2.53048,3.56011,1.171,0.238232,0.0669171,0.1713150143623352,0.241597,1.22213,0.293396,0.72842,0.392589,,3.77667,2.9068,2.65224,160.3300018310547,,,,14107,1.6495711087385965,-4.527051646793982e+16
Gerrit Cole,NYY,11.6144,10.3492,17.408,3.9296,30.78,30.78,0.0,0.0,188.884,790.639,172.582,88.567,82.4708,28.3116,53.0061,,6.7347,197.253,9.39876,2.52565,3.72132,1.349,0.249485,0.0670421,0.1824430599808693,0.236123,1.19432,0.285495,0.736863,0.379259,,3.97527,3.08724,2.617,60.16999816894531,,,,13125,1.6467954429732448,-4.5194341623415576e+16
Garrett Crochet,BOS,12.3484,8.4553,17.3787,3.03798,30.78,30.78,0.0,0.0,170.138,684.11,133.028,62.6451,57.4307,16.6357,51.679,,6.5401,220.433,11.6605,2.73372,4.26543,0.88,0.322219,0.075542,0.246677003800869,0.212542,1.08563,0.299346,0.75619,0.439859,,2.87293,4.79685,4.87638,24.25,,,,27463,1.6373057312796937,-4.4933907776567096e+16
Logan Webb,SFG,12.3915,10.709,20.5236,3.45941,32.0,32.0,0.0,0.0,201.109,840.056,201.923,85.8974,77.3022,16.8261,45.1597,,6.4382,174.689,7.81763,2.02098,3.86824,0.753,0.207949,0.053758,0.1541909165680408,0.256099,1.2286,0.310075,0.721103,0.558832,,3.28659,3.55765,3.52747,101.83000183105467,,,,17995,1.6330621773718503,-4.481744848842249e+16
Hunter Greene,CIN,10.2569,10.1792,14.6472,4.15581,29.16,29.16,0.0,0.0,172.061,729.998,148.843,84.5509,79.4501,27.2047,62.6156,,11.6734,205.318,10.7396,3.27525,3.27902,1.423,0.281258,0.085775,0.1954829841852188,0.226996,1.22898,0.287435,0.731997,0.339337,,4.13063,2.8464,2.7107,96.83000183105467,,,,22182,1.6312129998624731,-4.476670001177487e+16
Freddy Peralta,MIL,11.1837,10.1497,16.1284,3.78282,30.78,30.78,0.0,0.0,177.958,744.905,151.405,80.3345,74.798,23.965,63.0845,,8.2819,205.12,10.3737,3.19042,3.25151,1.212,0.275364,0.084688,0.1906758546829223,0.22479,1.20528,0.286734,0.74144,0.371585,,3.81497,3.07246,3.14251,95.12999725341795,,,,18679,1.6286400319489047,-4.469608796862885e+16
Sonny Gray,STL,12.0821,9.6103,18.5162,3.40447,30.78,30.78,0.0,0.0,184.766,764.441,164.287,76.3979,69.8921,19.6262,51.3093,,6.828,197.289,9.61001,2.4993,3.84508,0.956,0.258082,0.06712,0.1909621506929397,0.232602,1.16687,0.295596,0.739947,0.447268,,3.35578,3.69143,3.95154,103.79000091552734,,,,12768,1.6197781726807539,-4.445288478459506e+16
Framber Valdez,HOU,12.0352,9.0551,19.0364,3.42272,29.16,29.16,0.0,0.0,184.592,766.261,172.527,77.7961,70.2009,15.6288,59.0634,,8.589,177.281,8.64351,2.8797,3.00153,0.762,0.231358,0.07708,0.1542781218886375,0.246958,1.25461,0.310261,0.733367,0.567966,,3.44585,3.50447,3.59603,62.25,,,,17295,1.5806743865580615,-4.3379727898997176e+16
Michael King,SDP,11.6028,9.8016,16.6948,3.69051,30.78,30.78,0.0,0.0,179.519,754.6,158.394,79.8624,73.6131,21.8615,64.1614,,7.5588,191.262,9.58869,3.21666,2.98094,1.096,0.253461,0.085027,0.1684338748455047,0.23195,1.23973,0.290646,0.743389,0.42192,,3.81731,3.05985,3.10949,62.0,,,,19853,1.5774886142225544,-4.32922981675878e+16
Aaron Nola,PHI,11.7769,10.1053,17.541,3.83189,30.78,30.78,0.0,0.0,187.668,780.647,178.304,86.4703,79.9024,26.2109,44.8599,,5.936,185.138,8.8787,2.15135,4.12703,1.257,0.23716,0.057465,0.1796950586140155,0.244302,1.18915,0.293332,0.733065,0.428643,,3.82111,3.23198,3.34872,83.95999908447266,,,,16149,1.5678469439993665,-4.302769399968925e+16
Reynaldo López,ATL,11.8591,9.4921,15.8919,3.89599,30.78,30.78,0.0,0.0,178.861,752.463,163.026,83.4297,77.4265,22.3576,60.7471,,5.7857,189.642,9.54249,3.05671,3.12182,1.125,0.252028,0.080731,0.1712969169020652,0.237671,1.2511,0.296812,0.72916,0.399003,,3.78687,2.67042,2.96685,150.8800048828125,,,,16400,1.5621282536432046,-4.287075134679468e+16
Carlos Rodón,NYY,11.2608,9.9433,15.3848,3.90187,30.78,30.78,0.0,0.0,175.865,735.528,152.816,81.3113,76.2446,26.5165,54.0135,,7.7304,199.718,10.2207,2.76418,3.69756,1.357,0.27153,0.073435,0.1980949714779853,0.226802,1.17607,0.282201,0.739619,0.326269,,3.90859,2.77194,2.63914,120.87999725341795,,,,16137,1.5609226259927693,-4.283766433034895e+16
Luis Castillo,SEA,11.0739,10.6462,17.718,3.61923,30.78,30.78,0.0,0.0,184.327,766.751,165.774,80.4171,74.1246,23.5938,51.9535,,6.8739,186.987,9.12987,2.5367,3.59912,1.152,0.243869,0.067758,0.176111027598381,0.234169,1.1812,0.285879,0.743439,0.410604,,3.75906,2.80999,2.71627,89.87999725341797,,,,15689,1.556162794841181,-4.27070364275013e+16
