Name,auction_value
Tomas Frick,-inf
Kenny Castillo,-inf
Anderson De Los Santos,-inf
Angel Del Rosario,-inf
Garret Guillemette,-inf
Jake Anchia,-inf
Kalae Harrison,-inf
Robert Lopez,-inf
Cristian Gonzalez,-inf
Tyler Whitaker,-inf
Kamren James,-inf
Eduardo Tait,-inf
Aneudis Mordán,-inf
Luis Castillo,-inf
Josiah Sightler,-inf
Eduardo Guerrero,-inf
Waner Luciano,-inf
Alexander Ramirez,-inf
Abrahan Ramirez,-inf
Nick Goodwin,-inf
Josh Adamczewski,-inf
Dameury Pena,-inf
Tevin Tucker,-inf
Jose Salas,-inf
Miguel Sosa,-inf
Natanael Yuten,-inf
Gavin Dugas,-inf
Caden Rose,-inf
Kehden Hettiger,-inf
Ty Hanchey,-inf
Joe Olsavsky,-inf
Yiddi Cappe,-inf
Angel Tejada,-inf
Marvin Alcantara,-inf
Jose De Jesus,-inf
Antonis Macias,-inf
Jordan Viars,-inf
Logan Tanner,-inf
Juan Flores,-inf
Kevin Sim,-inf
Jake DeLeo,-inf
Adriander Mejía,-inf
Maxwell Romero Jr.,-inf
Edgar Alvarez,-inf
Jefrey De Los Santos,-inf
Capri Ortiz,-inf
Luis Suisbel,-inf
Jeremy Ciriaco,-inf
Will Verdung,-inf
Randy De Jesus,-inf
Jancel Villarroel,-inf
Jake Cunningham,-inf
Izaac Pacheco,-inf
Nolan McLean,-inf
Luis Durango,-inf
Luis Chevalier,-inf
Jose Ramos,-inf
Leonel Espinoza,-inf
Calvin Harris,-inf
Modeifi Marte,-inf
Leo Balcazar,-inf
Brock Vradenburg,-inf
Coby Morales,-inf
Albertson Asigen,-inf
Cole Turney,-inf
Jay Harry,-inf
Edward Duran,-inf
Jack Costello,-inf
Bill Knight,-inf
T.J. Schofield-Sam,-inf
Felix Tena,-inf
Jorge Ruiz,-inf
Jackson Hornung,-inf
C.J. Stubbs,-inf
Werner Blakely,-inf
Sammy Stafura,-inf
Ben Ramirez,-inf
Harrison Spohn,-inf
Troy Schreffler,-inf
Darlin Moquete,-inf
Juan Benjamin,-inf
Jean Carlos Sio,-inf
Ed Howard,-inf
Daniel Guilarte,-inf
Trevor Werner,-inf
Yeremi Cabrera,-inf
Andruw Musett,-inf
Anthony Servideo,-inf
Tre Richardson,-inf
Ricardo Cabrera,-inf
Rafael Morel,-inf
Kenni Gomez,-inf
Luis Mendez,-inf
Kiko Romero,-inf
Zyhir Hope,-inf
Tyler Robertson,-inf
Junior Tilien,-inf
Elis Cuevas,-inf
Ryan Higgins,-inf
Carson Roccaforte,-inf
Luke Gold,-inf
Cutter Coffey,-inf
Patrick Lee,-inf
Michael Curialle,-inf
Jose Fernandez,-inf
Joshua Mears,-inf
Miguel Bleis,-inf
Lizandro Rodriguez,-inf
Dylan Shockley,-inf
Victor Acosta,-inf
Rayne Doncon,-inf
Won-Bin Cho,-inf
Jose Escobar,-inf
Stephen Paolini,-inf
Daniel Vazquez,-inf
Colby Shade,-inf
Ronald Hernandez,-inf
