Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Chris Bassitt","TOR",10.4676,10.9653,15.2336,4.09626,30.78,30.78,0,0,178.982,764.556,171.783,87.9983,81.4621,22.5319,60.0054,,10.966,164.819,8.2878,3.01733,2.74674,1.133,0.215575,0.078484,0.13709093630313873,0.247674,1.29504,0.294827,0.718076,0.423635,,4.15088,2.13837,1.96312,357.25,,,,"12304"
"Jesús Luzardo","PHI",10.0893,9.1382,12.395,3.92669,40.92,25.92,0,0.5823,161.257,680.42,146.675,75.7319,70.3561,23.1493,54.9747,,6.0775,166.147,9.27295,3.06823,3.02225,1.292,0.244183,0.0807953,0.16338805109262466,0.236814,1.25049,0.287221,0.744016,0.388583,,4.10785,2.10716,2.44506,278.0400085449219,,,,"19959"
"José Soriano","LAA",9.0425,8.8419,13.0002,3.89082,25.92,25.92,0,0,148.176,638.14,140.12,70.1879,64.0585,15.1469,62.1171,,8.9665,144.322,8.76589,3.7729,2.32338,0.92,0.22616,0.0973409,0.12881890684366226,0.247101,1.36485,0.306617,0.729427,0.520076,,3.98657,2.10677,2.27605,351.8299865722656,,,,"22100"
"Dustin May","LAD",9.1529,7.1463,8.703,3.74137,59.82,17.82,0,0.6794,142.528,597.258,128.682,64.3258,59.2499,16.7391,48.4037,,6.7281,149.998,9.47169,3.05648,3.09889,1.057,0.251144,0.0810432,0.17010102421045303,0.237366,1.24246,0.298205,0.733871,0.455314,,3.74888,2.08323,2.02506,409.8299865722656,,,,"19716"
"Clayton Kershaw",,8.0488,7.3131,11.0358,3.72204,22.68,22.68,0,0,124.977,524.453,120.236,56.3314,51.6856,15.1361,34.284,,4.4075,115.395,8.30995,2.4689,3.36585,1.09,0.220029,0.065371,0.15465808659791946,0.24752,1.23638,0.295863,0.736436,0.449,,3.82303,2.07481,2.18761,535.1699829101562,,,,"2036"
"Kumar Rocker","TEX",8.9159,7.999,10.957,3.7812,37.68,22.68,0,0.6344,141.41,592.146,130.574,64.4143,59.4113,17.3149,43.5483,,5.5538,144.262,9.1815,2.77161,3.31269,1.102,0.243626,0.0735432,0.17008288949728012,0.240449,1.23133,0.296904,0.731966,0.439068,,3.75962,2.06667,2.09066,285.5400085449219,,,,"31843"
"Yu Darvish","SDP",10.0569,10.1364,13.8048,4.2035,29.16,29.16,0,0,167.821,703.652,159.454,83.8324,78.3817,25.1359,46.8759,,8.1075,160.009,8.58106,2.51389,3.41346,1.348,0.227398,0.066618,0.16078003495931625,0.245817,1.22946,0.289776,0.715775,0.379471,,4.18958,2.02617,1.87907,222.5800018310547,,,,"13074"
"Sean Manaea","NYM",11.2206,10.3206,15.9179,4.01355,30.78,30.78,0,0,181.467,769.581,165.991,87.0748,80.9253,25.4054,63.8152,,8.4569,182.288,9.04072,3.16496,2.8565,1.26,0.236867,0.082922,0.1539449468255043,0.238045,1.26638,0.287135,0.734825,0.391239,,4.17223,2.01821,2.13913,181.5399932861328,,,,"15873"
"Luis Severino","ATH",10.3058,11.3609,16,4.05083,30.78,30.78,0,0,182.749,775.673,175.882,89.043,82.2537,22.9654,60.9314,,8.8822,158.414,7.80158,3.00075,2.59988,1.131,0.204228,0.0785529,0.1256749927997589,0.249174,1.29584,0.291558,0.722022,0.431987,,4.21252,1.97473,2.12454,305.0400085449219,,,,"15890"
"Alex Cobb","DET",7.8231,7.6513,11.4915,3.64877,22.68,22.68,0,0,126.657,533.29,125.82,56.7009,51.3489,11.7228,35.7667,,4.6108,106.183,7.54518,2.54152,2.96876,0.833,0.199109,0.067068,0.1320411041378975,0.255258,1.27579,0.304254,0.722479,0.53419,,3.64938,1.95016,1.97879,454.8800048828125,,,,"6562"
