Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId,weighted_zscore,auction_value
Abel Lorenzo,LAD,0.25,1.0,0.9169,0.1258,0.0971,0.0159,0.0013,0.0115,0.0698,0.062,0.0612,0.001,0.3746,0.012,0.007,0.0029,,0.0141,0.004,0.137201,0.0612,0.3746,0.163374,0.199579,0.195005,0.182035,0.394584,0.0578035,4.36715,0.212533,0.0,-0.000136213,0.0138401,-0.103138,13.8871,-0.000136213,0.0,-0.1031106945883948,-0.0120000001043081,-0.00844912,999.0,,,,sa3021831,-0.49431478144335095,-inf
Heriberto Rincon,NYM,0.25,1.0,0.932,0.1409,0.1135,0.0161,0.0017,0.0096,0.0671,0.0618,0.0481,0.0,0.3108,0.01,0.007,0.0029,,0.0131,0.0037,0.15118,0.0481,0.3108,0.154762,0.199579,0.203004,0.183531,0.402583,0.051824,4.20889,0.212253,0.0,-0.000232863,0.0150442,-0.101934,16.7093,-0.000232863,0.0,-0.0998325078544439,0.0040000001899898,-0.00645811,999.0,,,,sa3021238,-0.49443828290158487,-inf
Abraham Cohen,BAL,0.25,1.0,0.9077,0.1166,0.0915,0.0138,0.0011,0.0103,0.066,0.0567,0.0704,0.0,0.3776,0.012,0.007,0.0029,,0.0105,0.0029,0.128457,0.0704,0.3776,0.186441,0.199579,0.180236,0.178523,0.379815,0.0517792,3.71438,0.201784,0.0,-0.000447011,0.011013,-0.105965,11.9914,-0.000447011,0.0,-0.1011473147082142,-0.0120000001043081,-0.00824278,999.0,,,,sa3021243,-0.49454994529146606,-inf
Kelvin Alcantara,SEA,0.25,1.0,0.9215,0.1304,0.1025,0.0149,0.0011,0.0119,0.0645,0.0605,0.0586,0.001,0.354,0.01,0.007,0.0029,,0.0083,0.0023,0.141508,0.0586,0.354,0.165537,0.199579,0.198806,0.182815,0.398385,0.0572979,3.38393,0.210629,0.0,-0.000614016,0.0144675,-0.102511,18.7657,-0.000614016,0.0,-0.0935630709282122,-0.0120000001043081,-0.0074595,999.0,,,,sa3021837,-0.4945560233797667,-inf
Kevin Ereu,MIL,0.25,1.0,0.9157,0.1246,0.1025,0.0159,0.0013,0.0049,0.0614,0.0519,0.0634,0.001,0.3325,0.011,0.007,0.0029,,0.0096,0.0027,0.136071,0.0634,0.3325,0.190677,0.199579,0.172327,0.174034,0.371906,0.0362564,3.57195,0.204511,0.0,-0.000561794,0.00739999,-0.109578,6.43101,-0.000561794,0.0,-0.1124523040489293,0.0040000001899898,-0.00776146,999.0,,,,sa3021104,-0.49483855725100406,-inf
Jayden Felicia,MIA,0.25,1.0,0.9211,0.1299,0.1072,0.0166,0.0015,0.0046,0.0594,0.051,0.059,0.0,0.3233,0.01,0.007,0.0029,,0.0114,0.0032,0.141027,0.059,0.3233,0.182493,0.199478,0.177288,0.175526,0.376767,0.036261,3.91374,0.208764,0.0,-0.000406665,0.00860109,-0.108377,5.18552,-0.000406665,0.0,-0.113786531088408,0.0040000001899898,-0.00789925,999.0,,,,sa3021307,-0.49522843722765963,-inf
Aldo Gaxiola,TOR,0.25,1.0,0.9342,0.1428,0.1092,0.0172,0.0011,0.0153,0.0694,0.0693,0.0439,0.003,0.3111,0.012,0.007,0.0029,,0.0082,0.0023,0.152858,0.0439,0.3111,0.141112,0.199278,0.222757,0.18891,0.422035,0.0698994,3.51046,0.207385,0.0,-0.000570876,0.019373,-0.097605,18.0215,-0.000570876,0.0,-0.0943714434979483,-0.0209999997168779,-0.00847248,999.0,,,,sa3022373,-0.4955671686892002,-inf
Branny De Oleo,NYM,0.25,1.0,0.9392,0.1478,0.1184,0.0186,0.0018,0.009,0.0672,0.0633,0.0379,0.0,0.268,0.013,0.007,0.0029,,0.0105,0.0029,0.157368,0.0379,0.268,0.141418,0.199278,0.209753,0.185053,0.409031,0.052385,4.07105,0.207412,0.0,-0.000410706,0.0162689,-0.100709,17.7334,-0.000410706,0.0,-0.0987856982974335,0.0040000001899898,-0.00635,999.0,,,,sa3021160,-0.49576532361974374,-inf
Jorge Hernandez,KCR,0.25,1.0,0.9441,0.1527,0.1222,0.0189,0.0018,0.0098,0.0666,0.0642,0.035,0.0,0.3044,0.011,0.007,0.0029,,0.009,0.0025,0.161741,0.035,0.3044,0.11498,0.199278,0.216714,0.186986,0.415992,0.054973,3.85806,0.224368,0.0,-0.000540021,0.0178249,-0.0991532,10.8518,-0.000540021,0.0,-0.102544229128398,0.0040000001899898,-0.00673461,999.0,,,,sa3021301,-0.4957876482913744,-inf
Cesar Lugo,CHC,0.25,1.0,0.9126,0.1374,0.1072,0.018,0.0016,0.0106,0.0709,0.063,0.0665,0.0,0.3118,0.011,0.007,0.0029,,0.0133,0.0037,0.150559,0.0665,0.3118,0.213278,0.215525,0.208635,0.195686,0.42416,0.0580758,4.13384,0.212324,0.0,-0.000296254,0.0248271,-0.092151,23.9222,-0.000296254,0.0,-0.0912706967792473,0.0040000001899898,-0.00557387,999.0,,,,sa3024319,-0.4290295944135254,-inf
Yordalin Pena,STL,0.25,1.0,0.9355,0.1451,0.1128,0.0193,0.0017,0.0113,0.0677,0.0651,0.0446,0.0,0.3216,0.01,0.007,0.0029,,0.0119,0.0033,0.155104,0.0446,0.3216,0.138682,0.200281,0.215607,0.188014,0.415887,0.0605024,4.1059,0.219488,0.0,-0.000277713,0.0186519,-0.0983261,17.6804,-0.000277713,0.0,-0.0987160723598208,0.0040000001899898,-0.00634281,999.0,,,,sa3018489,-0.4915156652806291,-inf
Carlos Gutierrez,CLE,0.25,1.0,0.9328,0.1433,0.1134,0.0186,0.0013,0.01,0.066,0.0622,0.0473,0.001,0.3276,0.01,0.007,0.0029,,0.0131,0.0036,0.153623,0.0473,0.3276,0.144383,0.201183,0.208512,0.185715,0.409695,0.0548885,3.90466,0.221355,0.0,-0.000177367,0.0168016,-0.100176,15.6695,-0.000177367,0.0,-0.0966691806970629,-0.0120000001043081,-0.00778029,999.0,,,,sa3015783,-0.4878617582064555,-inf
Rashawn Pinder,TEX,0.25,1.0,0.9267,0.1373,0.1074,0.017,0.0015,0.0115,0.0678,0.0622,0.0524,0.0,0.3605,0.011,0.007,0.0029,,0.011,0.003,0.14816,0.0524,0.3605,0.145354,0.201284,0.207079,0.18655,0.408363,0.0589187,4.02359,0.223963,0.0,-0.000363045,0.0174741,-0.0995039,15.0313,-0.000363045,0.0,-0.0975850080722011,-0.0120000001043081,-0.00787487,999.0,,,,sa3023729,-0.48745072687772734,-inf
